num	name	http1	spdy3	delta	simple
1	linkedin.com	144	112	97	64
2	linkedin.com	576	332	347	313
3	linkedin.com	568	99	126	146
4	linkedin.com	411	154	169	140
5	linkedin.com	374	79	83	71
6	linkedin.com	668	138	164	379
7	linkedin.com	758	100	75	134
8	linkedin.com	410	94	133	155
9	linkedin.com	412	73	94	104
10	linkedin.com	778	99	112	418
11	linkedin.com	778	89	87	145
12	linkedin.com	800	167	191	232
13	linkedin.com	786	34	46	105
14	linkedin.com	584	117	121	171
15	linkedin.com	825	68	86	274
16	linkedin.com	625	68	67	167
17	linkedin.com	410	75	92	132
18	linkedin.com	661	122	133	343
19	linkedin.com	825	58	80	266
20	linkedin.com	372	59	84	99
21	linkedin.com	270	50	56	70
22	linkedin.com	661	115	94	315
23	linkedin.com	825	56	50	257
24	linkedin.com	647	32	58	182
25	linkedin.com	373	75	83	100
26	linkedin.com	661	102	116	343
27	linkedin.com	825	57	57	259
28	linkedin.com	647	53	80	183
29	licdn.com	393	104	129	125
30	licdn.com	340	67	67	75
31	licdn.com	393	69	83	91
32	licdn.com	386	51	85	85
33	licdn.com	387	51	79	78
34	licdn.com	431	83	91	124
35	licdn.com	426	75	93	105
36	licdn.com	374	73	109	88
37	licdn.com	373	63	86	79
38	licdn.com	393	73	109	104
39	licdn.com	385	62	65	84
40	licdn.com	424	91	104	109
41	licdn.com	387	66	88	86
42	licdn.com	424	78	84	110
43	licdn.com	394	64	86	92
44	licdn.com	422	73	88	124
45	licdn.com	302	123	143	112
46	licdn.com	303	80	95	84
47	licdn.com	302	78	90	84
48	licdn.com	303	71	91	84
49	licdn.com	303	78	91	84
50	licdn.com	303	68	91	84
51	licdn.com	303	80	91	84
52	licdn.com	303	75	91	84
53	licdn.com	303	74	92	84
54	licdn.com	303	70	91	84
55	licdn.com	304	70	91	85
56	licdn.com	392	112	158	172
57	licdn.com	387	86	106	127
58	licdn.com	387	73	97	106
59	imrworldwide.com	363	144	162	160
60	imrworldwide.com	363	26	14	36
61	imrworldwide.com	363	24	14	36
62	imrworldwide.com	363	25	14	36
63	imrworldwide.com	363	28	36	36
64	imrworldwide.com	363	26	14	36
65	imrworldwide.com	363	24	14	36
66	imrworldwide.com	363	25	14	36
67	google-analytics.com	343	117	136	138
68	google-analytics.com	388	135	151	142
69	google-analytics.com	341	42	14	39
70	google-analytics.com	388	28	26	68
71	google-analytics.com	388	26	21	49
72	google-analytics.com	388	29	21	49
73	google-analytics.com	388	28	21	49
74	google-analytics.com	341	29	14	39
75	google-analytics.com	388	28	27	68
76	google-analytics.com	341	27	14	39
77	google-analytics.com	388	27	27	68
78	google-analytics.com	341	27	14	39
79	google-analytics.com	388	28	27	68
80	google-analytics.com	341	27	14	39
81	quantserve.com	372	125	177	180
82	quantserve.com	439	189	222	248
83	quantserve.com	252	37	20	36
84	quantserve.com	252	26	14	36
85	quantserve.com	252	25	14	36
86	quantserve.com	252	27	14	36
87	quantserve.com	252	25	14	36
88	quantserve.com	252	24	14	36
89	quantserve.com	252	25	14	36
90	scorecardresearch.com	284	53	85	120
91	scorecardresearch.com	335	62	115	107
92	scorecardresearch.com	335	29	14	39
93	scorecardresearch.com	335	29	14	39
94	scorecardresearch.com	313	36	36	50
95	scorecardresearch.com	320	33	28	41
96	scorecardresearch.com	320	29	14	39
97	scorecardresearch.com	320	26	14	39
98	scorecardresearch.com	320	29	14	39
99	doubleclick.net	161	57	63	68
100	doubleclick.net	161	24	14	33
101	doubleclick.net	161	32	23	36
102	doubleclick.net	147	35	32	38
103	doubleclick.net	161	29	29	58
104	doubleclick.net	146	32	23	37
105	doubleclick.net	161	28	29	58
106	doubleclick.net	146	28	23	37
107	thawte.com	353	132	192	168
108	2mdn.net	371	117	142	161
109	2mdn.net	368	66	105	101
110	2mdn.net	368	69	93	91
111	betrad.com	355	128	127	141
112	betrad.com	344	104	95	112
113	betrad.com	361	89	99	127
114	betrad.com	353	91	93	106
115	betrad.com	346	92	82	114
116	betrad.com	299	79	84	84
117	betrad.com	51	29	22	10
118	betrad.com	51	21	8	10
119	doubleverify.com	333	110	101	147
120	doubleverify.com	343	38	39	54
121	doubleverify.com	343	29	14	54
122	comodoca.com	387	149	175	192
123	media6degrees.com	413	211	213	260
124	media6degrees.com	413	33	84	121
125	media6degrees.com	358	136	121	135
126	media6degrees.com	358	60	76	103
127	agkn.com	558	190	299	320
128	agkn.com	558	47	168	204
