num	name	http1	spdy3	delta	simple
1	msn.com	290	189	205	182
2	msn.com	294	31	25	35
3	msn.com	532	263	280	287
4	msn.com	551	99	86	276
5	msn.com	606	139	112	329
6	msn.com	689	175	154	406
7	msn.com	1064	305	418	512
8	msn.com	576	115	94	115
9	msn.com	569	99	106	281
10	msn.com	570	38	33	49
11	msn.com	677	99	113	376
12	msn.com	895	92	187	290
13	msn.com	750	99	98	163
14	msn.com	989	255	311	686
15	msn.com	785	80	220	508
16	msn.com	785	32	126	145
17	msn.com	785	31	126	145
18	msn.com	785	32	126	145
19	msn.com	762	83	69	138
20	msn.com	963	145	250	664
21	msn.com	762	67	65	488
22	msn.com	990	63	243	337
23	msn.com	1238	196	392	532
24	msn.com	834	51	136	158
25	msn.com	839	94	76	495
26	msn.com	1032	112	291	724
27	msn.com	813	33	28	532
28	msn.com	1004	55	224	307
29	msn.com	841	34	26	224
30	msn.com	1314	137	443	572
31	msn.com	804	98	75	96
32	msn.com	822	98	88	112
33	msn.com	822	66	67	89
34	msn.com	823	49	68	90
35	msn.com	744	106	96	110
36	msn.com	822	67	66	178
37	msn.com	822	68	65	89
38	msn.com	822	64	66	89
39	msn.com	1189	226	385	462
40	msn.com	822	68	76	141
41	msn.com	822	43	90	112
42	msn.com	823	43	68	90
43	msn.com	843	88	114	160
44	msn.com	836	63	119	150
45	msn.com	908	141	113	549
46	msn.com	1073	109	313	760
47	msn.com	1034	60	238	696
48	msn.com	863	37	26	235
49	msn.com	1385	113	485	615
50	msn.com	848	53	39	486
51	msn.com	1052	52	239	665
52	msn.com	977	96	237	646
53	msn.com	812	34	22	499
54	msn.com	1195	118	379	493
55	msn.com	977	75	208	614
56	msn.com	812	33	22	499
57	msn.com	951	50	200	280
58	msn.com	1195	46	370	454
59	msn.com	1065	112	273	340
60	msn.com	977	70	210	614
61	msn.com	812	34	22	499
62	msn.com	951	43	200	280
63	msn.com	1195	44	372	454
64	msn.com	1065	40	275	340
65	msn.com	977	70	208	614
66	msn.com	812	34	22	499
67	msn.com	951	42	202	280
68	msn.com	1065	43	273	340
69	msn.com	1195	40	370	454
70	msn.com	977	74	210	614
71	msn.com	812	34	22	499
72	msn.com	951	43	200	280
73	msn.com	1065	43	275	340
74	msn.com	1195	40	372	454
75	msn.com	977	72	209	614
76	msn.com	812	34	22	499
77	msn.com	951	46	202	280
78	msn.com	1195	43	371	454
79	msn.com	1065	42	274	340
80	msn.com	977	72	209	614
81	msn.com	951	44	201	591
82	msn.com	1195	45	371	454
83	msn.com	1065	40	274	340
84	msn.com	814	39	36	160
85	msn.com	837	146	50	521
86	msn.com	964	95	234	665
87	msn.com	951	47	205	623
88	msn.com	831	33	26	207
89	msn.com	1211	111	377	490
