num	name	http1	spdy3	delta	simple
1	nytimes.com	294	193	207	185
2	nytimes.com	407	170	162	177
3	nytimes.com	377	75	62	77
4	nytimes.com	392	57	57	91
5	nytimes.com	415	94	96	111
6	nytimes.com	390	34	68	89
7	nytimes.com	395	63	64	90
8	nytimes.com	400	50	60	98
9	nytimes.com	470	77	122	163
10	nytimes.com	384	30	65	105
11	nytimes.com	416	39	69	112
12	nytimes.com	390	54	40	59
13	nytimes.com	393	55	42	62
14	nytimes.com	392	37	41	61
15	nytimes.com	373	50	54	74
16	nytimes.com	394	44	47	92
17	nytimes.com	357	48	43	60
18	nytimes.com	404	46	52	101
19	nytimes.com	402	58	48	70
20	nytimes.com	417	66	63	83
21	nytimes.com	431	45	75	95
22	nytimes.com	298	32	28	95
23	nytimes.com	464	70	100	227
24	nytimes.com	444	63	75	106
25	nytimes.com	408	56	54	75
26	nytimes.com	415	60	58	81
27	nytimes.com	405	42	53	72
28	nytimes.com	431	66	67	95
29	nytimes.com	417	50	61	83
30	nytimes.com	363	52	47	65
31	nytimes.com	407	61	56	104
32	nytimes.com	433	54	68	97
33	nytimes.com	414	46	61	80
34	nytimes.com	429	47	69	93
35	nytimes.com	410	41	54	77
36	nytimes.com	418	44	63	84
37	nytimes.com	420	44	65	85
38	nytimes.com	432	109	94	114
39	nytimes.com	418	43	65	102
40	nytimes.com	429	51	74	93
41	nytimes.com	418	39	63	84
42	nytimes.com	418	39	64	84
43	nytimes.com	420	44	68	85
44	nytimes.com	412	37	59	78
45	nytimes.com	430	46	67	94
46	nytimes.com	426	48	71	91
47	nytimes.com	454	66	85	115
48	nytimes.com	435	54	72	98
49	nytimes.com	419	46	64	84
50	nytimes.com	426	45	63	91
51	nytimes.com	419	43	63	84
52	nytimes.com	430	45	72	94
53	nytimes.com	415	45	60	81
54	nytimes.com	424	49	63	89
55	nytimes.com	432	45	71	96
56	nytimes.com	397	56	45	65
57	nytimes.com	407	36	51	74
58	nytimes.com	407	53	53	74
59	nytimes.com	410	42	56	77
60	nytimes.com	403	52	49	70
61	nytimes.com	399	75	67	85
62	nytimes.com	385	64	81	103
63	nytimes.com	406	59	52	121
64	nytimes.com	403	88	97	119
65	nytimes.com	662	183	230	379
66	nytimes.com	653	33	47	68
67	nytimes.com	658	37	51	72
68	nytimes.com	649	33	45	64
69	nytimes.com	701	55	82	110
70	nytimes.com	698	42	79	107
71	nytimes.com	698	36	80	107
72	nytimes.com	698	36	81	107
73	nytimes.com	698	36	79	107
74	nytimes.com	698	36	79	107
75	nytimes.com	698	35	80	107
76	nytimes.com	698	37	81	107
77	nytimes.com	696	71	75	105
78	nytimes.com	669	40	57	82
79	nytimes.com	700	67	77	109
80	nytimes.com	693	81	40	124
81	nytimes.com	637	39	41	75
82	nytimes.com	670	91	54	131
83	nytimes.com	713	83	114	445
84	nytimes.com	730	140	139	458
85	nytimes.com	762	121	119	475
86	nytimes.com	752	46	57	189
87	nytimes.com	626	80	71	348
88	nytimes.com	1389	428	593	1001
89	nytimes.com	1570	170	637	1160
90	nytimes.com	780	55	56	483
91	nytimes.com	776	41	44	63
92	nytimes.com	1604	199	633	1174
93	nytimes.com	931	76	105	613
94	nytimes.com	1097	191	262	288
95	nytimes.com	948	193	226	651
96	nytimes.com	907	54	41	57
97	nytimes.com	897	47	30	45
98	nytimes.com	903	47	34	50
99	nytimes.com	917	51	43	63
100	nytimes.com	950	86	133	652
101	nytimes.com	911	57	40	618
102	nytimes.com	926	45	49	70
103	nytimes.com	911	52	102	147
104	nytimes.com	910	40	37	56
105	nytimes.com	1092	161	167	324
106	nytimes.com	913	45	39	168
107	nytimes.com	915	43	41	61
108	nytimes.com	891	36	34	130
109	nytimes.com	912	39	49	148
110	nytimes.com	916	39	41	62
111	nytimes.com	911	41	38	57
112	nytimes.com	918	45	43	63
113	nytimes.com	908	38	36	55
114	nytimes.com	911	37	38	57
115	nytimes.com	912	37	38	58
116	nytimes.com	914	41	40	60
117	nytimes.com	925	42	47	70
118	nytimes.com	923	39	46	68
119	nytimes.com	930	39	50	74
120	nytimes.com	927	46	48	71
121	nytimes.com	1015	128	106	709
122	nytimes.com	928	59	49	633
123	nytimes.com	912	42	38	58
124	nytimes.com	1036	117	100	728
125	nytimes.com	914	46	40	621
126	nytimes.com	938	60	47	171
127	nytimes.com	897	52	94	135
128	nytimes.com	905	58	48	70
129	nytimes.com	889	38	38	56
130	nytimes.com	901	45	46	67
131	nytimes.com	914	52	54	78
132	nytimes.com	917	51	102	136
133	nytimes.com	981	82	76	209
134	nytimes.com	961	71	53	75
135	nytimes.com	970	82	60	83
136	nytimes.com	973	61	68	85
137	nytimes.com	957	56	50	71
138	nytimes.com	914	92	117	516
139	nytimes.com	922	46	29	44
140	nytimes.com	969	77	70	564
141	nytimes.com	946	60	57	544
142	nytimes.com	938	51	41	58
