num	name	http1	spdy3	delta	simple
1	nytimes.com	195	125	128	92
2	nytimes.com	353	145	171	130
3	nytimes.com	389	106	128	124
4	nytimes.com	373	50	87	105
5	nytimes.com	329	87	104	103
6	nytimes.com	389	53	91	137
7	nytimes.com	387	52	82	95
8	nytimes.com	372	61	89	104
9	nytimes.com	373	49	83	97
10	nytimes.com	389	43	89	119
11	nytimes.com	376	58	90	107
12	nytimes.com	376	60	83	98
13	nytimes.com	376	81	98	107
14	nytimes.com	376	52	43	70
15	nytimes.com	389	58	86	119
16	nytimes.com	374	57	91	105
17	nytimes.com	389	57	90	119
18	nytimes.com	376	67	90	107
19	nytimes.com	376	76	99	107
20	nytimes.com	377	66	89	108
21	nytimes.com	377	57	85	98
22	nytimes.com	464	184	226	232
23	nytimes.com	378	65	86	147
24	nytimes.com	377	57	85	98
25	nytimes.com	376	63	91	107
26	nytimes.com	377	59	91	108
27	nytimes.com	374	34	53	105
28	nytimes.com	374	55	91	105
29	nytimes.com	377	60	86	98
30	nytimes.com	390	52	91	119
31	nytimes.com	376	42	70	107
32	nytimes.com	377	53	94	108
33	nytimes.com	377	56	86	98
34	nytimes.com	378	59	86	99
35	nytimes.com	377	53	86	98
36	nytimes.com	377	51	86	98
37	nytimes.com	378	55	86	99
38	nytimes.com	248	67	60	81
39	nytimes.com	377	49	85	144
40	nytimes.com	377	48	86	98
41	nytimes.com	377	57	85	98
42	nytimes.com	378	58	85	99
43	nytimes.com	377	45	86	98
44	nytimes.com	377	53	85	98
45	nytimes.com	377	47	86	98
46	nytimes.com	378	53	85	99
47	nytimes.com	378	55	87	99
48	nytimes.com	378	50	86	99
49	nytimes.com	378	48	87	99
50	nytimes.com	377	52	85	98
51	nytimes.com	378	49	86	99
52	nytimes.com	377	56	86	98
53	nytimes.com	377	48	86	98
54	nytimes.com	378	49	87	99
55	nytimes.com	377	52	86	98
56	nytimes.com	374	49	89	105
57	nytimes.com	374	55	83	97
58	nytimes.com	375	57	84	98
59	nytimes.com	375	56	85	98
60	nytimes.com	377	53	91	108
61	nytimes.com	276	129	111	106
62	nytimes.com	369	58	61	142
63	nytimes.com	374	50	114	119
64	nytimes.com	578	201	287	364
65	nytimes.com	375	53	93	151
66	nytimes.com	375	31	36	65
67	nytimes.com	375	46	43	69
68	nytimes.com	375	27	14	65
69	nytimes.com	378	60	96	109
70	nytimes.com	378	38	44	70
71	nytimes.com	378	38	44	70
