num	name	http1	spdy3	delta	simple
1	pinterest.com	296	193	208	187
2	pinterest.com	538	283	272	292
3	pinterest.com	538	52	48	64
4	pinterest.com	538	55	47	64
5	pinterest.com	537	58	47	63
6	pinterest.com	538	54	47	64
7	pinterest.com	538	55	47	64
8	pinterest.com	538	54	47	64
9	pinterest.com	538	54	47	64
10	pinterest.com	538	54	46	64
11	pinterest.com	509	65	58	120
12	pinterest.com	519	58	64	122
13	pinterest.com	531	66	63	84
14	pinterest.com	526	48	36	54
15	pinterest.com	530	48	40	57
16	pinterest.com	529	51	39	56
17	pinterest.com	522	44	35	50
18	pinterest.com	529	47	63	82
19	pinterest.com	531	51	40	58
20	pinterest.com	521	48	42	75
21	pinterest.com	533	55	41	85
22	pinterest.com	538	58	46	64
23	pinterest.com	526	45	37	54
24	pinterest.com	510	48	49	65
25	pinterest.com	518	45	35	51
26	pinterest.com	528	52	61	81
27	pinterest.com	523	44	35	51
28	pinterest.com	526	43	37	54
29	pinterest.com	531	50	40	58
30	pinterest.com	525	49	60	78
31	pinterest.com	527	47	37	55
32	pinterest.com	525	43	36	53
33	pinterest.com	537	60	70	89
34	pinterest.com	526	46	37	54
35	pinterest.com	521	42	33	75
36	pinterest.com	538	58	47	90
37	pinterest.com	538	54	47	64
38	pinterest.com	538	53	48	64
39	pinterest.com	521	41	33	75
40	pinterest.com	528	46	62	81
41	pinterest.com	531	49	41	58
42	pinterest.com	538	55	47	64
43	pinterest.com	530	51	40	83
44	pinterest.com	535	53	47	87
45	pinterest.com	530	45	39	57
46	pinterest.com	530	45	39	57
47	pinterest.com	531	50	40	58
48	pinterest.com	538	58	46	90
49	pinterest.com	523	43	35	51
50	pinterest.com	536	56	44	63
51	pinterest.com	531	47	64	84
52	pinterest.com	521	41	33	49
53	pinterest.com	534	52	42	61
54	pinterest.com	532	53	41	59
55	pinterest.com	525	46	36	53
56	pinterest.com	532	50	44	84
57	pinterest.com	528	46	38	81
58	pinterest.com	526	45	37	79
59	pinterest.com	521	40	34	49
60	pinterest.com	529	49	39	82
61	pinterest.com	521	37	34	49
62	pinterest.com	521	40	34	75
63	pinterest.com	528	47	38	56
64	pinterest.com	530	47	40	57
65	pinterest.com	529	45	39	56
66	pinterest.com	534	55	42	86
67	pinterest.com	531	47	40	84
68	pinterest.com	528	41	38	56
69	pinterest.com	533	49	41	60
70	pinterest.com	520	40	32	49
71	pinterest.com	530	49	40	57
72	pinterest.com	538	58	46	64
73	pinterest.com	526	46	37	79
74	pinterest.com	521	40	33	75
75	pinterest.com	504	74	59	90
76	pinterest.com	535	60	75	117
77	pinterest.com	523	38	35	77
78	pinterest.com	527	47	37	55
79	pinterest.com	530	49	40	83
80	pinterest.com	534	53	42	61
81	pinterest.com	534	48	42	61
82	pinterest.com	537	58	47	89
83	pinterest.com	529	50	39	82
84	pinterest.com	527	46	37	80
85	pinterest.com	528	47	38	81
86	pinterest.com	538	57	48	64
87	pinterest.com	519	37	32	48
88	pinterest.com	529	46	39	82
89	pinterest.com	538	53	47	64
90	pinterest.com	537	57	47	63
91	pinterest.com	532	50	41	84
92	pinterest.com	530	48	40	83
93	pinterest.com	532	42	40	59
94	pinterest.com	530	43	39	57
95	pinterest.com	538	57	48	64
96	pinterest.com	528	46	38	81
97	pinterest.com	526	44	37	54
98	pinterest.com	533	52	42	60
99	pinterest.com	533	47	41	60
100	pinterest.com	531	50	40	58
101	pinterest.com	538	58	47	90
102	pinterest.com	538	54	46	90
103	pinterest.com	538	54	47	64
104	pinterest.com	537	58	46	89
105	pinterest.com	536	51	43	88
106	pinterest.com	538	55	48	64
107	pinterest.com	528	44	38	56
108	pinterest.com	538	55	48	64
109	pinterest.com	535	55	47	87
110	pinterest.com	534	55	46	86
111	pinterest.com	534	58	50	86
112	pinterest.com	534	52	43	86
113	pinterest.com	547	51	75	117
114	pinterest.com	533	57	56	105
115	pinterest.com	538	58	47	90
116	pinterest.com	538	53	47	64
117	pinterest.com	537	55	47	63
118	pinterest.com	538	53	47	90
119	pinterest.com	538	55	47	64
