num	name	http1	spdy3	delta	simple
1	qq.com	289	188	205	181
2	qq.com	272	68	64	65
3	qq.com	318	64	83	89
4	qq.com	316	40	34	48
5	qq.com	311	73	68	83
6	qq.com	326	91	74	86
7	qq.com	604	224	217	292
8	qq.com	1226	407	697	847
9	qq.com	418	69	64	170
10	qq.com	382	47	43	85
11	qq.com	384	49	40	57
12	qq.com	385	49	41	58
13	qq.com	382	31	39	56
14	qq.com	385	37	41	58
15	qq.com	399	80	65	83
16	qq.com	378	86	98	111
17	qq.com	722	128	285	385
18	qq.com	417	49	45	119
19	qq.com	385	47	74	105
20	qq.com	739	39	285	385
21	qq.com	416	38	48	144
22	qq.com	416	28	34	50
23	qq.com	539	213	211	251
24	qq.com	452	56	88	161
25	qq.com	453	55	88	161
26	qq.com	451	77	87	186
27	qq.com	451	24	8	58
28	qq.com	824	120	347	475
29	qq.com	429	44	44	118
30	qq.com	425	48	46	58
31	qq.com	401	91	76	93
32	qq.com	409	45	51	100
33	qq.com	1404	343	796	982
34	qq.com	355	45	47	94
35	qq.com	395	50	89	122
36	qq.com	762	234	311	450
37	qq.com	818	144	345	469
38	qq.com	538	110	119	224
39	qq.com	732	93	248	296
40	gtimg.com	326	66	58	83
41	gtimg.com	326	34	39	54
42	gtimg.com	337	48	46	63
43	gtimg.com	339	38	48	65
44	gtimg.com	330	41	41	57
45	gtimg.com	333	41	44	60
46	gtimg.com	290	48	39	52
47	gtimg.com	328	40	44	85
48	gtimg.com	332	62	58	71
49	gtimg.com	336	52	51	75
50	gtimg.com	319	45	38	60
51	gtimg.com	337	45	45	63
52	gtimg.com	334	50	45	61
53	gtimg.com	319	34	33	48
54	gtimg.com	319	34	33	48
55	gtimg.com	325	34	42	65
56	gtimg.com	319	35	38	60
57	gtimg.com	324	43	41	64
58	gtimg.com	319	34	38	60
59	gtimg.com	319	33	34	48
60	gtimg.com	319	32	34	48
61	gtimg.com	336	30	49	75
62	gtimg.com	319	34	37	60
63	gtimg.com	319	34	34	48
64	gtimg.com	319	33	33	48
65	gtimg.com	295	41	48	69
66	gtimg.com	319	35	43	90
67	gtimg.com	319	33	34	48
68	gtimg.com	319	34	33	48
69	gtimg.com	319	33	33	48
70	gtimg.com	333	45	43	60
71	gtimg.com	334	45	43	61
72	gtimg.com	335	47	44	62
73	gtimg.com	334	43	44	61
74	gtimg.com	332	40	42	59
75	gtimg.com	335	44	44	62
76	gtimg.com	333	42	43	60
77	gtimg.com	335	37	45	62
78	gtimg.com	334	45	44	61
79	gtimg.com	334	35	44	61
80	gtimg.com	319	36	33	48
81	gtimg.com	334	36	44	61
82	gtimg.com	334	44	43	61
83	gtimg.com	333	47	43	60
84	gtimg.com	334	43	44	61
85	gtimg.com	336	45	45	63
86	gtimg.com	337	47	46	63
87	gtimg.com	336	47	45	63
88	gtimg.com	335	42	45	62
89	gtimg.com	335	30	45	62
90	gtimg.com	335	32	44	62
91	gtimg.com	335	30	45	62
92	gtimg.com	335	39	44	62
93	gtimg.com	338	46	46	64
94	gtimg.com	333	40	43	60
95	gtimg.com	334	41	43	61
96	gtimg.com	335	41	44	62
97	gtimg.com	336	46	45	63
98	gtimg.com	333	39	43	60
99	gtimg.com	333	42	43	60
100	gtimg.com	335	38	44	62
101	gtimg.com	313	64	50	84
102	gtimg.com	294	50	42	56
103	gtimg.com	310	40	41	70
104	gtimg.com	348	58	57	132
105	gtimg.com	347	46	45	63
106	gtimg.com	344	45	43	60
107	gtimg.com	346	45	44	62
108	gtimg.com	348	37	45	63
109	gtimg.com	336	49	42	65
110	gtimg.com	333	32	36	50
111	gtimg.com	346	38	48	74
112	gtimg.com	346	32	44	62
113	gtimg.com	345	35	44	61
114	gtimg.com	345	43	43	61
115	gtimg.com	346	31	44	62
