num	name	http1	spdy3	delta	simple
1	sina.com.cn	294	193	207	185
2	sina.com.cn	298	31	27	39
3	sina.com.cn	304	81	82	93
4	sina.com.cn	309	56	59	73
5	sina.com.cn	334	70	88	98
6	sina.com.cn	334	31	58	69
7	sina.com.cn	387	109	105	139
8	sina.com.cn	323	47	33	89
9	sina.com.cn	323	43	33	47
10	sina.com.cn	575	135	137	303
11	sina.com.cn	518	53	40	57
12	sina.com.cn	586	59	63	131
13	sina.com.cn	560	58	55	108
14	sina.com.cn	538	72	64	89
15	sina.com.cn	328	45	54	93
16	sina.com.cn	327	43	36	50
17	sina.com.cn	327	52	74	92
18	sina.com.cn	552	60	56	271
19	sina.com.cn	581	57	58	126
20	sina.com.cn	581	33	36	53
21	sina.com.cn	295	47	45	64
22	sina.com.cn	399	52	47	133
23	sina.com.cn	599	78	57	324
24	sina.com.cn	575	53	50	65
25	sina.com.cn	556	37	47	92
26	sina.com.cn	581	34	50	126
27	sina.com.cn	295	29	43	64
28	sina.com.cn	581	31	46	308
29	sina.com.cn	581	32	36	53
30	sina.com.cn	327	33	45	92
31	sina.com.cn	574	41	40	302
32	sina.com.cn	519	34	49	72
33	sina.com.cn	591	63	57	135
34	sina.com.cn	546	42	47	96
35	sina.com.cn	303	50	50	71
36	sina.com.cn	544	50	36	276
37	sina.com.cn	573	92	117	140
38	sina.com.cn	564	65	53	133
39	sina.com.cn	544	46	47	64
40	sina.com.cn	545	50	49	277
41	sina.com.cn	634	87	90	299
42	sina.com.cn	639	73	89	121
43	sina.com.cn	549	53	44	98
44	sina.com.cn	544	43	40	64
45	sina.com.cn	546	41	37	66
46	sina.com.cn	621	64	93	182
47	sina.com.cn	710	95	207	442
48	sina.com.cn	684	71	138	420
49	sina.com.cn	691	34	41	60
50	sina.com.cn	696	36	44	64
51	sina.com.cn	569	98	102	319
52	sina.com.cn	739	74	181	445
53	sina.com.cn	1028	288	364	721
54	sina.com.cn	697	39	53	129
55	sina.com.cn	681	43	36	51
56	sina.com.cn	732	49	39	147
57	sina.com.cn	555	74	102	307
58	sina.com.cn	706	122	118	439
59	sina.com.cn	555	33	54	307
60	sina.com.cn	555	32	54	102
61	sina.com.cn	555	32	54	102
62	sina.com.cn	702	79	139	432
63	sina.com.cn	797	46	110	243
64	sina.com.cn	703	46	97	141
65	sina.com.cn	729	53	78	166
66	sina.com.cn	643	45	41	91
67	sina.com.cn	643	36	33	49
68	sina.com.cn	711	78	62	138
69	sina.com.cn	611	50	43	63
70	sina.com.cn	694	52	51	123
71	sina.com.cn	655	89	76	373
72	sina.com.cn	839	104	178	555
73	sina.com.cn	694	36	55	100
74	sina.com.cn	850	80	175	237
75	sina.com.cn	760	61	136	486
76	sina.com.cn	828	47	171	217
77	sina.com.cn	724	49	50	455
78	sina.com.cn	792	39	40	200
79	sina.com.cn	839	46	186	555
80	sina.com.cn	803	42	46	366
81	sina.com.cn	715	118	130	175
82	sina.com.cn	631	69	49	77
83	sina.com.cn	712	109	89	423
84	sina.com.cn	688	50	43	73
85	sina.com.cn	858	107	108	551
86	sina.com.cn	702	80	92	435
87	sina.com.cn	718	31	22	106
88	sina.com.cn	683	44	41	76
89	sina.com.cn	718	54	34	424
90	sina.com.cn	687	46	45	397
91	sina.com.cn	678	45	31	46
92	sina.com.cn	670	38	26	39
93	sina.com.cn	684	41	51	65
94	sina.com.cn	687	41	36	68
95	sina.com.cn	725	55	48	105
96	sina.com.cn	695	51	43	78
97	sina.com.cn	682	43	48	63
98	sina.com.cn	692	51	56	72
99	sina.com.cn	674	49	43	56
100	sina.com.cn	720	60	43	100
101	sina.com.cn	673	41	42	59
102	sina.com.cn	680	50	47	62
103	sina.com.cn	712	52	55	93
104	sina.com.cn	678	47	51	63
105	sina.com.cn	712	35	30	419
106	sina.com.cn	726	36	33	49
107	sina.com.cn	726	30	33	49
108	sina.com.cn	726	30	33	49
109	sina.com.cn	726	31	33	49
110	sina.com.cn	726	30	33	49
111	sina.com.cn	761	61	48	465
112	sina.com.cn	731	58	51	439
113	sina.com.cn	696	38	44	79
114	sina.com.cn	726	31	43	434
115	sina.com.cn	713	50	36	423
116	sina.com.cn	758	65	50	121
117	sina.com.cn	737	49	78	137
118	sina.com.cn	737	30	29	44
119	sina.com.cn	732	34	26	40
120	sina.com.cn	1104	292	365	428
121	sina.com.cn	713	49	40	64
122	sina.com.cn	760	127	111	464
123	sina.com.cn	750	60	61	84
124	sina.com.cn	710	54	37	420
125	sina.com.cn	757	60	55	133
126	sina.com.cn	737	49	77	125
127	sina.com.cn	729	63	52	88
128	sina.com.cn	738	35	41	96
129	sina.com.cn	746	42	43	62
130	sina.com.cn	827	173	159	216
131	sina.com.cn	746	35	53	145
132	sina.com.cn	713	44	40	74
133	sina.com.cn	731	53	48	68
134	sina.com.cn	749	40	49	105
135	sina.com.cn	771	97	134	167
136	sina.com.cn	787	71	78	108
137	sina.com.cn	808	94	75	528
138	sina.com.cn	696	62	69	430
139	sina.com.cn	776	40	35	467
140	sina.com.cn	770	49	35	50
141	sina.com.cn	772	39	33	49
142	sina.com.cn	778	136	105	465
143	sina.com.cn	782	42	14	46
144	sina.com.cn	718	41	39	413
145	sina.com.cn	723	46	32	49
146	sina.com.cn	722	37	32	48
147	sina.com.cn	768	63	47	91
148	sina.com.cn	759	41	36	452
149	sina.com.cn	791	50	39	69
