num	name	http1	spdy3	delta	simple
1	sina.com.cn	361	183	217	171
2	sina.com.cn	401	155	212	161
3	sina.com.cn	368	99	158	131
4	sina.com.cn	339	164	186	168
5	sina.com.cn	313	100	132	122
6	sina.com.cn	313	38	57	55
7	sina.com.cn	368	64	88	141
8	sina.com.cn	312	68	85	111
9	sina.com.cn	314	58	75	73
10	sina.com.cn	355	62	77	130
11	sina.com.cn	368	54	56	86
12	sina.com.cn	394	88	131	135
13	sina.com.cn	313	53	79	112
14	sina.com.cn	399	98	101	128
15	sina.com.cn	314	51	75	73
16	sina.com.cn	314	50	72	63
17	sina.com.cn	399	60	79	128
18	sina.com.cn	314	51	79	73
19	sina.com.cn	385	73	129	156
20	sina.com.cn	389	62	119	122
21	sina.com.cn	402	57	125	142
22	sina.com.cn	402	59	119	122
23	sina.com.cn	333	76	100	129
24	sina.com.cn	355	70	63	71
25	sina.com.cn	313	48	76	72
26	sina.com.cn	423	94	134	189
27	sina.com.cn	401	51	104	141
28	sina.com.cn	419	75	139	156
29	sina.com.cn	389	49	55	122
30	sina.com.cn	312	54	80	111
31	sina.com.cn	333	48	76	90
32	sina.com.cn	406	59	130	175
33	sina.com.cn	333	61	101	137
34	sina.com.cn	313	52	85	72
35	sina.com.cn	400	67	91	137
36	sina.com.cn	314	54	70	81
37	sina.com.cn	396	111	149	161
38	sina.com.cn	314	47	79	127
39	sina.com.cn	312	51	78	62
40	sina.com.cn	386	229	204	215
41	sina.com.cn	359	57	76	143
42	sina.com.cn	357	53	82	65
43	sina.com.cn	313	52	76	72
44	sina.com.cn	313	48	84	70
45	sina.com.cn	312	54	77	62
46	sina.com.cn	358	55	84	93
47	sina.com.cn	406	54	141	156
48	sina.com.cn	314	59	106	120
49	sina.com.cn	312	50	70	62
50	sina.com.cn	360	56	74	85
51	sina.com.cn	317	197	189	199
52	sina.com.cn	352	65	164	200
53	sina.com.cn	385	76	81	210
54	sina.com.cn	312	38	62	121
55	sina.com.cn	312	43	54	62
56	sina.com.cn	339	60	122	114
57	sina.com.cn	232	72	72	105
58	sina.com.cn	410	138	173	203
59	sina.com.cn	232	23	8	105
60	sina.com.cn	232	25	36	47
61	sina.com.cn	232	23	8	39
62	sina.com.cn	378	84	123	142
63	sina.com.cn	352	36	196	230
64	sina.com.cn	348	41	159	189
65	sina.com.cn	359	40	49	144
66	sina.com.cn	313	50	87	72
67	sina.com.cn	313	47	71	63
68	sina.com.cn	332	55	76	89
69	sina.com.cn	399	67	85	128
70	sina.com.cn	357	56	75	74
71	sina.com.cn	402	55	133	153
72	sina.com.cn	359	57	105	123
73	sina.com.cn	379	60	85	81
74	sina.com.cn	359	24	8	75
75	sina.com.cn	396	56	106	155
76	sina.com.cn	398	48	82	119
77	sina.com.cn	383	64	89	125
78	sina.com.cn	314	52	80	63
79	sina.com.cn	367	45	89	140
80	sina.com.cn	382	54	107	132
81	sina.com.cn	277	140	158	158
82	sina.com.cn	404	63	137	188
83	sina.com.cn	359	52	80	115
84	sina.com.cn	279	57	73	91
85	sina.com.cn	387	81	159	158
86	sina.com.cn	383	71	149	133
87	sina.com.cn	388	65	156	148
88	sina.com.cn	398	54	125	157
89	sina.com.cn	396	63	120	117
90	sina.com.cn	368	54	52	92
91	sina.com.cn	396	49	99	117
92	sina.com.cn	403	59	92	112
93	sina.com.cn	398	71	94	128
94	sina.com.cn	402	47	92	133
95	sina.com.cn	360	51	81	116
96	sina.com.cn	400	65	82	111
97	sina.com.cn	400	61	91	91
98	sina.com.cn	399	63	87	90
99	sina.com.cn	407	82	135	137
100	sina.com.cn	379	56	57	121
101	sina.com.cn	438	119	176	176
102	sina.com.cn	464	232	245	272
103	sina.com.cn	348	95	151	147
104	sina.com.cn	256	57	101	89
105	sina.com.cn	399	56	68	168
106	sina.com.cn	367	37	27	81
107	sina.com.cn	397	31	24	99
108	sina.com.cn	402	39	71	104
109	sina.com.cn	398	36	26	100
110	sina.com.cn	399	33	24	101
111	sina.com.cn	389	50	60	131
112	sina.com.cn	385	56	76	137
113	sina.com.cn	385	67	90	98
114	sina.com.cn	400	44	105	151
115	sina.com.cn	383	57	83	125
116	sina.com.cn	407	57	61	117
117	sina.com.cn	346	70	109	147
118	sina.com.cn	347	50	58	87
119	sina.com.cn	347	61	96	87
120	sina.com.cn	385	31	60	212
121	sina.com.cn	387	55	79	159
122	sina.com.cn	292	61	84	103
123	sina.com.cn	292	31	19	35
124	sina.com.cn	309	61	58	123
125	sina.com.cn	359	54	64	141
126	sina.com.cn	385	56	85	153
127	sina.com.cn	312	55	79	63
128	sina.com.cn	385	50	73	107
129	sina.com.cn	312	44	56	63
130	sina.com.cn	401	73	109	223
131	sina.com.cn	311	41	60	120
132	sina.com.cn	313	56	76	72
133	sina.com.cn	312	47	78	71
134	sina.com.cn	311	38	49	62
135	sina.com.cn	325	39	37	159
136	sina.com.cn	317	46	83	115
137	sina.com.cn	392	66	160	170
138	sina.com.cn	397	67	108	155
139	sina.com.cn	391	67	131	143
140	sina.com.cn	400	50	104	131
141	sina.com.cn	400	58	96	111
142	sina.com.cn	362	80	109	145
143	sina.com.cn	486	81	101	293
144	sina.com.cn	440	157	174	218
145	sina.com.cn	438	69	122	116
146	sina.com.cn	428	74	122	132
147	sina.com.cn	406	91	85	199
148	sina.com.cn	401	45	70	167
149	sina.com.cn	385	60	104	118
150	sina.com.cn	405	45	75	143
151	sina.com.cn	402	53	48	112
152	sina.com.cn	375	59	114	173
153	sina.com.cn	374	51	57	91
154	sina.com.cn	293	42	61	124
155	sina.com.cn	375	38	43	170
156	sina.com.cn	420	48	139	225
157	sina.com.cn	385	31	30	210
158	sina.com.cn	293	31	28	122
159	sina.com.cn	375	45	90	170
160	sina.com.cn	293	36	72	124
161	sina.com.cn	293	23	8	31
162	sina.com.cn	381	83	93	175
163	sina.com.cn	276	62	100	81
164	sina.com.cn	374	59	105	164
165	sina.com.cn	264	76	69	82
166	sina.com.cn	374	30	41	106
167	sina.com.cn	253	50	65	89
168	sina.com.cn	290	53	102	98
169	sina.com.cn	376	47	88	166
170	sina.com.cn	374	44	69	74
171	sina.com.cn	486	32	40	293
172	sina.com.cn	401	62	88	181
173	sina.com.cn	252	44	81	65
174	sina.com.cn	252	31	19	35
175	sina.com.cn	385	32	54	214
176	sina.com.cn	292	38	55	121
177	sina.com.cn	293	31	20	35
178	sina.com.cn	422	86	139	186
179	sina.com.cn	396	71	164	166
180	sina.com.cn	347	51	102	148
181	sina.com.cn	346	48	57	89
182	sina.com.cn	486	34	30	293
183	sina.com.cn	402	53	63	182
184	sina.com.cn	398	48	49	109
185	sina.com.cn	399	47	45	56
186	sina.com.cn	332	59	103	96
