num	name	http1	spdy3	delta	simple
1	taobao.com	293	192	207	184
2	taobao.com	297	31	27	38
3	taobao.com	313	43	29	40
4	taobao.com	437	179	182	210
5	taobao.com	461	132	105	190
6	taobao.com	462	62	37	147
7	taobao.com	563	178	182	314
8	taobao.com	511	88	91	189
9	taobao.com	453	95	90	183
10	taobao.com	439	74	75	96
11	taobao.com	563	85	114	296
12	taobao.com	512	47	60	96
13	taobao.com	702	218	209	345
14	taobao.com	703	91	86	102
15	taobao.com	674	185	164	393
16	taobao.com	928	142	249	519
17	taobao.com	669	41	39	245
18	taobao.com	645	56	73	272
19	taobao.com	662	75	151	400
20	taobao.com	712	101	113	427
21	taobao.com	962	143	368	663
22	taobao.com	882	229	215	472
23	taobao.com	993	289	276	345
24	taobao.com	995	42	262	334
25	taobao.com	680	123	105	350
26	taobao.com	1346	128	551	999
27	taobao.com	1496	241	426	793
28	taobao.com	1207	238	236	552
29	taobao.com	1160	148	145	248
30	taobao.com	1169	48	139	449
31	taobao.com	1487	240	650	1122
32	taobao.com	1148	71	166	642
33	taobao.com	1073	117	244	588
34	taobao.com	860	91	110	398
35	taobao.com	860	55	90	120
36	taobao.com	861	57	91	121
37	taobao.com	861	57	91	121
38	taobao.com	861	55	91	121
39	taobao.com	860	54	91	120
40	taobao.com	857	79	105	133
41	taobao.com	857	46	85	113
42	taobao.com	858	50	85	114
43	taobao.com	857	47	85	113
44	taobao.com	858	47	86	114
45	taobao.com	858	47	86	114
46	taobao.com	1188	120	189	677
47	taobao.com	1074	44	210	588
48	taobao.com	861	59	99	399
49	taobao.com	858	48	89	133
50	taobao.com	861	57	95	136
51	taobao.com	860	57	90	120
52	taobao.com	858	48	89	133
53	taobao.com	857	50	85	113
54	taobao.com	861	57	95	136
55	taobao.com	860	52	91	120
56	taobao.com	861	53	91	121
57	taobao.com	857	47	89	133
58	taobao.com	858	48	85	114
59	taobao.com	858	47	85	114
60	taobao.com	860	50	95	135
61	taobao.com	857	48	89	133
62	taobao.com	1151	340	321	393
63	taobao.com	968	141	145	177
64	taobao.com	1063	186	207	260
65	tbcdn.cn	339	116	53	124
66	tbcdn.cn	349	75	73	90
67	tbcdn.cn	730	209	305	406
68	tbcdn.cn	359	60	77	98
69	tbcdn.cn	332	50	52	71
70	tbcdn.cn	289	32	22	34
71	tbcdn.cn	290	31	23	35
72	tbcdn.cn	295	36	27	39
73	tbcdn.cn	304	42	33	47
74	tbcdn.cn	1036	215	529	687
75	tbcdn.cn	317	42	42	58
76	tbcdn.cn	329	57	50	69
77	tbcdn.cn	346	85	24	100
78	tbcdn.cn	367	45	50	103
79	tbcdn.cn	444	126	34	174
80	tbcdn.cn	496	78	96	122
