num	name	http1	spdy3	delta	simple
1	taobao.com	250	142	150	99
2	taobao.com	196	50	75	73
3	taobao.com	353	96	131	108
4	taobao.com	384	176	199	179
5	taobao.com	353	33	70	127
6	taobao.com	282	34	64	44
7	taobao.com	516	311	358	357
8	taobao.com	516	116	184	210
9	taobao.com	570	188	212	315
10	taobao.com	433	68	58	66
11	taobao.com	375	138	201	205
12	taobao.com	375	41	89	114
13	taobao.com	406	44	119	257
14	taobao.com	406	24	8	28
15	taobao.com	282	31	78	97
16	taobao.com	406	29	97	258
17	taobao.com	364	103	107	107
18	taobao.com	405	36	31	177
19	taobao.com	406	31	115	266
20	taobao.com	372	40	80	122
21	taobao.com	406	29	115	266
22	taobao.com	665	235	372	427
23	taobao.com	573	317	369	405
24	taobao.com	408	78	104	196
25	taobao.com	282	33	74	78
26	taobao.com	406	32	97	258
27	taobao.com	327	102	116	160
28	taobao.com	377	115	154	156
29	taobao.com	398	142	212	252
30	taobao.com	243	35	26	56
31	taobao.com	406	29	119	266
32	taobao.com	338	63	96	169
33	taobao.com	377	31	76	156
34	taobao.com	259	34	50	74
35	taobao.com	259	23	8	29
36	taobao.com	259	23	8	29
37	taobao.com	259	23	8	29
38	taobao.com	259	23	8	29
39	taobao.com	259	24	36	37
40	taobao.com	229	28	12	27
41	taobao.com	229	21	8	27
42	taobao.com	229	27	36	35
43	taobao.com	229	21	8	27
44	taobao.com	229	21	8	27
45	taobao.com	229	21	8	27
46	taobao.com	336	42	80	125
47	taobao.com	377	32	68	156
48	taobao.com	259	27	24	66
49	taobao.com	229	26	38	35
50	taobao.com	259	24	12	42
51	taobao.com	259	25	36	37
52	taobao.com	229	24	12	27
53	taobao.com	229	21	8	27
54	taobao.com	259	25	38	49
55	taobao.com	259	25	36	37
56	taobao.com	259	24	36	37
57	taobao.com	229	24	12	27
58	taobao.com	229	21	8	27
59	taobao.com	229	21	8	27
60	taobao.com	259	25	38	49
61	taobao.com	229	24	12	27
62	taobao.com	403	166	211	222
63	taobao.com	565	186	249	379
64	taobao.com	600	286	397	447
65	tbcdn.cn	284	62	97	91
66	tbcdn.cn	316	65	59	65
67	tbcdn.cn	316	37	36	39
68	tbcdn.cn	332	40	59	61
69	tbcdn.cn	332	49	85	55
70	tbcdn.cn	370	68	85	80
71	tbcdn.cn	327	44	40	39
72	tbcdn.cn	327	25	36	39
73	tbcdn.cn	300	59	75	72
74	tbcdn.cn	374	47	46	65
75	tbcdn.cn	374	44	66	60
76	tbcdn.cn	332	42	40	39
77	tbcdn.cn	369	33	50	71
78	tbcdn.cn	374	43	70	76
79	tbcdn.cn	358	52	68	68
80	tbcdn.cn	316	38	42	39
81	tbcdn.cn	375	47	44	75
82	tbcdn.cn	374	30	18	47
83	tbcdn.cn	332	43	42	39
84	tbcdn.cn	316	34	50	63
85	tbcdn.cn	375	40	44	75
86	tbcdn.cn	375	48	93	63
87	tbcdn.cn	375	30	18	48
88	tbcdn.cn	374	41	41	47
89	tbcdn.cn	332	37	42	39
90	tbcdn.cn	375	33	40	53
91	tbcdn.cn	332	25	20	39
92	tbcdn.cn	176	33	50	63
93	tbcdn.cn	358	45	98	110
94	tbcdn.cn	316	33	20	39
95	tbcdn.cn	375	42	46	75
96	tbcdn.cn	332	42	68	55
97	tbcdn.cn	359	45	46	61
98	tbcdn.cn	361	37	32	49
99	tbcdn.cn	375	35	44	70
100	tbcdn.cn	360	31	29	56
101	tbcdn.cn	374	40	46	69
102	tbcdn.cn	358	42	70	68
103	tbcdn.cn	359	44	40	48
104	tbcdn.cn	359	33	18	48
105	tbcdn.cn	360	40	42	49
106	tbcdn.cn	332	38	46	61
107	tbcdn.cn	332	23	8	31
108	tbcdn.cn	332	27	14	39
109	tbcdn.cn	370	35	54	80
110	tbcdn.cn	332	36	66	63
111	tbcdn.cn	381	77	100	96
112	tbcdn.cn	360	34	68	68
113	tbcdn.cn	359	44	40	48
114	tbcdn.cn	316	33	18	39
115	tbcdn.cn	381	31	74	96
116	tbcdn.cn	328	139	145	139
117	tbcdn.cn	365	56	66	112
118	tbcdn.cn	349	56	102	80
119	taobaocdn.com	366	109	197	192
120	taobaocdn.com	364	86	182	172
121	taobaocdn.com	323	81	144	127
122	taobaocdn.com	364	79	98	163
123	taobaocdn.com	324	81	148	128
124	taobaocdn.com	364	65	99	163
125	taobaocdn.com	364	58	94	70
126	taobaocdn.com	364	78	95	70
