num	name	http1	spdy3	delta	simple
1	wikipedia.org	567	357	406	418
2	wikipedia.org	581	42	28	40
3	wikipedia.org	635	62	61	80
4	wikipedia.org	637	52	64	82
5	wikipedia.org	631	49	60	77
6	wikimedia.org	596	263	263	316
7	wikimedia.org	439	54	107	112
8	wikimedia.org	428	59	120	119
9	wikimedia.org	433	33	86	120
10	wikimedia.org	425	30	80	113
11	wikimedia.org	461	139	152	154
12	wikimedia.org	530	136	152	167
13	wikimedia.org	718	207	292	389
14	wikimedia.org	494	97	133	182
15	wikimedia.org	407	120	124	149
16	wikimedia.org	452	96	115	173
17	wikimedia.org	472	99	130	210
18	wikimedia.org	402	55	70	93
19	wikimedia.org	424	49	86	112
20	wikimedia.org	427	48	88	115
21	wikimedia.org	406	52	73	97
22	wikimedia.org	410	48	77	100
23	wikimedia.org	399	56	68	91
24	wikimedia.org	401	48	69	92
25	wikimedia.org	375	54	51	70
26	wikimedia.org	403	56	74	94
27	wikimedia.org	443	77	96	129
28	wikimedia.org	405	50	72	96
29	wikimedia.org	417	61	80	106
30	wikimedia.org	405	53	74	96
31	wikimedia.org	414	58	81	104
32	wikimedia.org	471	84	120	154
33	wikimedia.org	431	59	91	119
34	wikimedia.org	406	62	75	97
35	wikimedia.org	597	134	209	264
36	wikimedia.org	431	68	89	119
37	wikimedia.org	409	51	76	99
38	wikimedia.org	411	35	108	148
39	wikimedia.org	399	46	77	138
40	wikimedia.org	398	33	67	90
41	wikimedia.org	407	54	74	98
42	wikimedia.org	416	62	79	105
43	wikimedia.org	407	28	74	98
44	wikimedia.org	405	49	72	96
45	wikimedia.org	411	56	76	101
46	wikimedia.org	457	30	18	159
47	wikimedia.org	417	59	88	124
48	wikimedia.org	462	79	112	146
49	wikimedia.org	430	29	26	133
50	wikimedia.org	449	61	111	182
51	wikimedia.org	611	131	219	276
52	wikimedia.org	423	40	91	150
53	wikimedia.org	379	50	56	76
54	wikimedia.org	469	33	120	154
55	wikimedia.org	415	51	82	107
56	wikimedia.org	410	56	79	103
57	wikimedia.org	412	46	81	105
58	wikimedia.org	406	46	77	99
59	wikimedia.org	390	47	64	85
60	wikimedia.org	408	53	77	101
61	wikimedia.org	412	47	79	105
62	wikimedia.org	428	55	92	119
63	wikimedia.org	418	61	83	110
64	wikimedia.org	409	38	109	149
65	wikimedia.org	403	52	85	144
66	wikimedia.org	388	44	65	84
67	wikimedia.org	390	41	64	85
