num	name	http1	spdy3	delta	simple
1	wikipedia.org	526	287	317	287
2	wikipedia.org	525	99	183	185
3	wikipedia.org	526	64	131	151
4	wikipedia.org	566	83	92	98
5	wikipedia.org	566	50	70	96
6	wikimedia.org	557	235	290	276
7	wikimedia.org	557	81	104	144
8	wikimedia.org	577	103	144	179
9	wikimedia.org	562	69	91	142
10	wikimedia.org	578	80	109	169
11	wikimedia.org	465	257	262	283
12	wikimedia.org	545	251	244	322
13	wikimedia.org	597	101	143	312
14	wikimedia.org	521	185	221	323
15	wikimedia.org	406	85	119	225
16	wikimedia.org	381	57	99	133
17	wikimedia.org	406	160	185	225
18	wikimedia.org	476	187	178	251
19	wikimedia.org	546	213	221	311
20	wikimedia.org	408	141	142	192
21	wikimedia.org	550	190	224	315
22	wikimedia.org	549	189	222	314
23	wikimedia.org	410	137	151	203
24	wikimedia.org	407	143	164	198
25	wikimedia.org	535	181	174	301
26	wikimedia.org	408	127	149	191
27	wikimedia.org	467	132	146	242
28	wikimedia.org	467	160	175	242
29	wikimedia.org	469	163	173	244
30	wikimedia.org	408	131	144	191
31	wikimedia.org	550	133	149	322
32	wikimedia.org	465	174	179	248
33	wikimedia.org	540	180	176	305
34	wikimedia.org	464	129	173	247
35	wikimedia.org	540	128	154	313
36	wikimedia.org	554	205	236	325
37	wikimedia.org	467	160	180	252
38	wikimedia.org	406	38	65	225
39	wikimedia.org	469	151	184	285
40	wikimedia.org	463	130	147	238
41	wikimedia.org	537	205	220	302
42	wikimedia.org	554	152	169	317
43	wikimedia.org	531	155	175	297
44	wikimedia.org	541	128	152	306
45	wikimedia.org	546	157	178	310
46	wikimedia.org	381	33	41	203
47	wikimedia.org	466	121	152	282
48	wikimedia.org	537	136	154	302
49	wikimedia.org	574	64	107	295
50	wikimedia.org	466	145	181	273
51	wikimedia.org	410	117	149	201
52	wikimedia.org	418	149	181	217
53	wikimedia.org	477	146	156	252
54	wikimedia.org	545	126	152	310
55	wikimedia.org	546	148	157	311
56	wikimedia.org	548	129	153	322
57	wikimedia.org	534	159	181	300
58	wikimedia.org	468	159	176	243
59	wikimedia.org	538	131	151	303
60	wikimedia.org	545	130	150	309
61	wikimedia.org	538	129	152	303
62	wikimedia.org	468	124	153	243
63	wikimedia.org	537	120	149	302
64	wikimedia.org	405	40	62	224
65	wikimedia.org	401	113	135	226
66	wikimedia.org	465	110	143	240
67	wikimedia.org	544	129	178	316
68	wikimedia.org	533	121	151	299
69	wikimedia.org	535	126	154	301
70	wikimedia.org	537	126	147	261
71	wikimedia.org	468	115	146	238
72	wikimedia.org	545	125	151	309
73	wikimedia.org	537	119	151	302
74	wikimedia.org	534	117	151	259
75	wikimedia.org	381	49	89	203
76	wikimedia.org	545	106	172	350
77	wikimedia.org	537	110	156	302
78	wikimedia.org	534	105	147	259
79	wikimedia.org	548	122	150	320
80	wikimedia.org	547	129	154	319
81	wikimedia.org	465	112	150	248
82	wikimedia.org	462	153	171	238
83	wikimedia.org	409	135	144	192
84	wikimedia.org	479	124	143	228
85	wikimedia.org	477	187	212	292
86	wikimedia.org	547	184	189	312
87	wikimedia.org	480	185	183	254
88	wikimedia.org	539	189	243	322
89	wikimedia.org	492	60	65	239
90	wikimedia.org	537	134	160	343
91	wikimedia.org	467	44	41	217
92	wikimedia.org	549	136	158	354
93	wikimedia.org	539	162	181	304
94	wikimedia.org	538	185	218	303
95	wikimedia.org	463	162	168	238
96	wikimedia.org	537	117	176	320
97	wikimedia.org	529	124	154	305
98	wikimedia.org	538	114	135	295
99	wikimedia.org	539	125	153	304
100	wikimedia.org	549	119	152	313
101	wikimedia.org	551	182	212	332
102	wikimedia.org	536	134	176	319
103	wikimedia.org	469	156	178	252
104	wikimedia.org	536	125	154	309
105	wikimedia.org	529	165	213	295
106	wikimedia.org	538	121	147	303
107	wikimedia.org	467	132	153	250
108	wikimedia.org	535	126	154	308
109	wikimedia.org	466	125	152	241
110	wikimedia.org	541	195	246	314
111	wikimedia.org	538	180	220	311
112	wikimedia.org	531	178	215	305
113	wikimedia.org	527	166	205	294
114	wikimedia.org	531	164	192	297
115	wikimedia.org	555	202	126	287
116	wikimedia.org	407	140	176	230
117	wikimedia.org	408	137	153	201
118	wikimedia.org	450	160	168	237
119	wikimedia.org	492	40	67	239
120	wikimedia.org	411	137	161	235
121	wikimedia.org	467	32	37	217
122	wikimedia.org	548	191	237	348
123	wikimedia.org	492	33	55	239
124	wikimedia.org	467	30	33	138
125	wikimedia.org	587	144	147	285
126	wikimedia.org	587	105	109	154
127	wikimedia.org	492	35	55	184
128	wikimedia.org	467	31	33	138
129	wikimedia.org	436	160	173	180
130	wikimedia.org	492	40	61	237
131	wikimedia.org	467	28	33	138
132	wikimedia.org	392	127	147	218
133	wikimedia.org	394	117	131	177
134	wikimedia.org	394	107	132	177
135	wikimedia.org	405	134	171	196
136	wikimedia.org	403	134	144	187
137	wikimedia.org	393	107	136	178
138	wikimedia.org	407	128	147	190
139	wikimedia.org	392	109	138	185
140	wikimedia.org	393	99	137	184
141	wikimedia.org	403	115	140	187
142	wikimedia.org	405	121	142	189
143	wikimedia.org	407	120	130	190
144	wikimedia.org	393	114	136	178
145	wikimedia.org	392	97	113	175
146	wikimedia.org	391	105	135	175
147	wikimedia.org	405	128	145	189
148	wikimedia.org	393	104	135	178
149	wikimedia.org	392	103	129	175
150	wikimedia.org	393	93	131	176
151	toolserver.org	259	81	88	86
152	toolserver.org	259	48	57	52
153	toolserver.org	198	28	30	33
154	toolserver.org	259	51	73	65
155	toolserver.org	205	42	45	33
156	toolserver.org	213	48	56	54
157	toolserver.org	213	44	44	40
158	toolserver.org	212	46	43	39
159	toolserver.org	235	39	63	80
160	toolserver.org	212	39	51	53
161	toolserver.org	212	29	25	31
162	toolserver.org	213	28	22	32
163	toolserver.org	213	32	43	40
164	toolserver.org	212	28	25	39
165	toolserver.org	213	28	22	32
166	toolserver.org	213	30	24	40
167	toolserver.org	213	29	19	32
168	toolserver.org	212	26	29	31
169	toolserver.org	213	29	20	32
170	toolserver.org	212	26	23	39
171	toolserver.org	212	32	25	39
172	toolserver.org	212	24	14	35
173	toolserver.org	212	23	8	28
174	toolserver.org	213	30	23	40
175	toolserver.org	212	23	20	39
176	toolserver.org	212	26	25	39
177	toolserver.org	212	26	19	31
178	toolserver.org	325	36	28	92
179	toolserver.org	324	33	18	46
180	toolserver.org	325	37	24	55
181	toolserver.org	235	23	20	35
182	toolserver.org	214	31	24	55
183	toolserver.org	213	31	23	40
184	toolserver.org	214	29	20	41
185	toolserver.org	213	28	19	32
186	toolserver.org	214	31	24	41
187	toolserver.org	213	30	24	40
188	toolserver.org	213	30	23	40
189	toolserver.org	213	27	26	40
190	toolserver.org	213	30	24	40
191	toolserver.org	214	35	50	49
192	toolserver.org	325	25	30	100
193	toolserver.org	324	26	18	46
194	toolserver.org	325	27	18	47
195	toolserver.org	324	24	18	46
196	toolserver.org	212	32	27	48
197	toolserver.org	212	27	21	31
198	toolserver.org	212	29	19	31
199	toolserver.org	213	34	44	48
200	toolserver.org	214	28	24	33
201	toolserver.org	214	28	24	33
202	toolserver.org	214	28	24	33
203	toolserver.org	214	29	24	33
204	toolserver.org	213	30	22	32
