num	name	http1	spdy3	delta	simple
1	yahoo.co.jp	328	223	229	209
2	yahoo.co.jp	332	31	28	41
3	yahoo.co.jp	343	96	88	99
4	yahoo.co.jp	345	55	44	62
5	yahoo.co.jp	340	55	47	72
6	yahoo.co.jp	343	38	31	93
7	yahoo.co.jp	360	84	82	114
8	yahoo.co.jp	506	140	160	264
9	yahoo.co.jp	480	53	47	114
10	yahoo.co.jp	557	139	173	248
11	yahoo.co.jp	562	58	170	216
12	yahoo.co.jp	530	102	93	224
13	yahoo.co.jp	418	45	56	85
14	yahoo.co.jp	447	65	68	212
15	yahoo.co.jp	600	63	252	324
16	yahoo.co.jp	604	53	198	253
17	yahoo.co.jp	1333	340	765	947
18	yahoo.co.jp	438	97	91	179
19	yahoo.co.jp	590	270	264	326
20	yahoo.co.jp	696	52	35	153
21	yahoo.co.jp	561	59	227	312
22	yahoo.co.jp	675	36	41	374
23	yahoo.co.jp	544	48	214	297
24	yahoo.co.jp	675	35	37	374
25	yahoo.co.jp	544	45	214	297
26	yahoo.co.jp	674	37	37	373
27	yahoo.co.jp	542	49	212	295
28	yimg.jp	316	78	78	104
29	yimg.jp	318	42	38	77
30	yimg.jp	359	77	60	83
31	yimg.jp	343	59	48	69
32	yimg.jp	340	33	46	66
33	yimg.jp	359	28	60	83
34	yimg.jp	362	72	61	85
35	yimg.jp	359	27	60	83
36	yimg.jp	359	27	60	83
37	yimg.jp	351	80	68	84
38	yimg.jp	350	65	56	74
39	yimg.jp	306	51	49	65
40	yimg.jp	314	51	50	69
41	yimg.jp	330	49	50	95
42	yimg.jp	337	45	45	63
43	yimg.jp	325	39	37	53
44	yimg.jp	321	33	34	49
45	yimg.jp	320	32	34	49
46	yimg.jp	333	45	42	60
47	yimg.jp	323	36	36	51
48	yimg.jp	332	47	41	59
49	yimg.jp	335	53	43	62
50	yimg.jp	360	41	80	105
51	yimg.jp	334	39	49	82
52	yimg.jp	335	47	43	62
53	yimg.jp	350	58	65	83
54	yimg.jp	349	65	60	82
55	yimg.jp	338	50	48	114
56	yimg.jp	391	63	59	104
57	yimg.jp	355	39	42	51
58	yimg.jp	358	39	32	46
59	yimg.jp	355	31	30	43
60	yimg.jp	388	63	59	80
61	yimg.jp	381	48	52	74
62	yimg.jp	332	43	38	53
63	yimg.jp	352	31	32	70
64	yimg.jp	377	46	44	63
65	yimg.jp	343	31	53	70
66	yimg.jp	389	62	58	102
67	yimg.jp	390	62	54	73
68	yimg.jp	390	50	54	73
69	yimg.jp	387	50	55	79
70	yimg.jp	428	97	94	115
71	yimg.jp	443	96	106	128
72	yimg.jp	443	64	92	117
73	yimg.jp	369	53	58	93
74	yimg.jp	362	66	59	79
75	yimg.jp	378	58	56	101
76	yimg.jp	380	64	98	130
77	yimg.jp	367	40	38	54
78	yimg.jp	380	39	46	65
79	yimg.jp	386	41	50	70
80	yimg.jp	370	40	40	56
81	yimg.jp	371	34	41	57
82	yimg.jp	371	36	41	57
83	yimg.jp	370	41	50	121
84	yimg.jp	374	43	53	125
85	yimg.jp	377	39	44	63
86	yimg.jp	372	33	41	58
87	yimg.jp	355	31	62	138
88	yimg.jp	392	70	74	113
89	yimg.jp	339	40	44	124
90	yimg.jp	352	34	32	71
91	yimg.jp	369	43	39	56
92	yimg.jp	336	51	42	57
93	yimg.jp	353	58	50	69
94	yimg.jp	340	42	41	57
95	yimg.jp	349	38	47	65
96	yimg.jp	429	59	92	147
97	yimg.jp	390	58	59	83
98	yimg.jp	390	58	54	74
99	yimg.jp	331	30	46	61
100	yimg.jp	337	36	39	55
101	yimg.jp	389	50	65	112
102	yimg.jp	389	48	54	73
103	yimg.jp	387	56	53	71
104	yimg.jp	359	52	53	85
105	yimg.jp	364	49	88	138
106	yimg.jp	366	50	44	61
107	yimg.jp	362	32	40	57
108	yimg.jp	363	39	41	58
109	yimg.jp	368	42	46	63
110	yimg.jp	367	41	45	62
111	yimg.jp	364	35	41	59
112	yimg.jp	367	32	44	62
113	yimg.jp	354	36	35	50
114	yimg.jp	362	32	40	57
115	yimg.jp	356	39	38	101
116	yimg.jp	1141	404	572	762
117	yimg.jp	965	283	464	552
118	yimg.jp	391	60	63	113
119	yimg.jp	922	50	506	604
120	yimg.jp	928	44	44	62
121	yimg.jp	1074	109	553	759
122	yimg.jp	477	125	129	189
123	yimg.jp	489	91	119	155
124	yimg.jp	489	78	119	155
125	yimg.jp	457	57	97	127
126	yimg.jp	1107	72	55	766
127	yimg.jp	464	63	113	203
128	yimg.jp	305	52	42	94
129	yimg.jp	368	63	58	103
130	yimg.jp	369	56	56	74
131	yimg.jp	363	32	51	115
132	yimg.jp	368	50	64	119
133	yimg.jp	366	58	56	80
134	yimg.jp	352	44	42	60
135	yimg.jp	367	61	57	81
136	yimg.jp	368	61	56	73
137	yimg.jp	369	60	59	112
138	yimg.jp	369	53	55	74
139	yimg.jp	366	54	53	71
140	yimg.jp	356	50	49	71
141	yimg.jp	369	59	65	120
142	yimg.jp	368	59	54	73
143	yimg.jp	405	86	87	114
144	yimg.jp	366	52	58	80
145	yimg.jp	368	55	60	111
146	yimg.jp	368	50	56	74
147	yimg.jp	367	50	55	73
148	yimg.jp	365	52	54	71
149	yimg.jp	368	59	55	74
150	twitter.com	612	221	258	357
151	twitter.com	698	49	46	117
152	twitter.com	699	39	44	62
153	twitter.com	1181	187	484	614
154	twitter.com	733	82	131	165
155	twitter.com	680	87	121	155
156	twitter.com	943	86	247	348
157	twitter.com	1279	54	131	700
158	facebook.net	330	63	49	112
159	twimg.com	1183	237	635	862
160	twimg.com	930	91	431	602
161	verisign.com	362	97	66	128
162	yahooapis.jp	780	241	411	510
163	edgesuite.net	394	105	87	172
164	edgesuite.net	394	72	60	112
