num	name	http1	spdy3	delta	simple
1	yahoo.co.jp	240	127	150	99
2	yahoo.co.jp	588	305	360	369
3	yahoo.co.jp	445	73	253	275
4	yahoo.co.jp	445	24	8	28
5	yahoo.co.jp	671	109	142	384
6	yahoo.co.jp	578	109	125	111
7	yahoo.co.jp	474	62	95	270
8	yahoo.co.jp	500	59	83	288
9	yahoo.co.jp	473	40	48	63
10	yahoo.co.jp	446	44	82	262
11	yahoo.co.jp	446	24	8	28
12	yahoo.co.jp	149	64	62	62
13	yahoo.co.jp	482	38	80	273
14	yahoo.co.jp	477	45	81	117
15	yahoo.co.jp	446	29	52	262
16	yahoo.co.jp	446	27	36	35
17	yahoo.co.jp	446	24	8	28
18	yahoo.co.jp	619	183	183	390
19	yahoo.co.jp	482	56	94	91
20	yahoo.co.jp	477	29	54	117
21	yahoo.co.jp	446	28	50	262
22	yahoo.co.jp	477	28	48	283
23	yahoo.co.jp	446	28	46	262
24	yahoo.co.jp	477	27	46	283
25	yahoo.co.jp	446	27	46	262
26	yahoo.co.jp	477	28	46	283
27	yahoo.co.jp	446	28	46	262
28	yimg.jp	491	199	267	254
29	yimg.jp	469	94	232	230
30	yimg.jp	469	85	224	230
31	yimg.jp	491	82	219	245
32	yimg.jp	468	54	95	220
33	yimg.jp	470	50	222	231
34	yimg.jp	470	62	213	221
35	yimg.jp	470	53	195	221
36	yimg.jp	470	49	191	213
37	yimg.jp	469	67	222	230
38	yimg.jp	469	59	213	221
39	yimg.jp	505	76	221	257
40	yimg.jp	505	72	240	231
41	yimg.jp	469	69	111	230
42	yimg.jp	468	64	96	220
43	yimg.jp	491	62	99	245
44	yimg.jp	468	66	219	220
45	yimg.jp	468	53	93	220
46	yimg.jp	469	63	202	230
47	yimg.jp	468	52	99	229
48	yimg.jp	468	61	221	229
49	yimg.jp	470	66	221	231
50	yimg.jp	470	56	200	231
51	yimg.jp	492	73	220	237
52	yimg.jp	470	64	222	231
53	yimg.jp	466	114	243	236
54	yimg.jp	494	64	222	256
55	yimg.jp	502	70	242	248
56	yimg.jp	468	65	204	229
57	yimg.jp	468	61	99	229
58	yimg.jp	468	60	197	220
59	yimg.jp	469	67	218	221
60	yimg.jp	470	55	98	231
61	yimg.jp	469	70	222	230
62	yimg.jp	506	68	100	258
63	yimg.jp	468	62	100	229
64	yimg.jp	469	65	222	230
65	yimg.jp	505	63	222	257
66	yimg.jp	492	60	218	231
67	yimg.jp	469	58	198	221
68	yimg.jp	469	54	216	221
69	yimg.jp	470	69	241	238
70	yimg.jp	513	123	280	286
71	yimg.jp	464	74	224	211
72	yimg.jp	465	78	220	212
73	yimg.jp	491	67	227	263
74	yimg.jp	506	64	98	244
75	yimg.jp	492	66	104	239
76	yimg.jp	492	62	216	223
77	yimg.jp	491	60	238	230
78	yimg.jp	492	61	218	223
79	yimg.jp	469	71	219	221
80	yimg.jp	490	68	220	244
81	yimg.jp	467	53	95	219
82	yimg.jp	467	56	217	219
83	yimg.jp	491	68	221	245
84	yimg.jp	491	49	175	222
85	yimg.jp	490	57	216	221
86	yimg.jp	468	64	95	220
87	yimg.jp	505	61	78	257
88	yimg.jp	471	62	222	231
89	yimg.jp	491	62	244	252
90	yimg.jp	466	63	224	227
91	yimg.jp	492	66	218	237
92	yimg.jp	505	61	219	243
93	yimg.jp	505	63	116	231
94	yimg.jp	504	59	77	230
95	yimg.jp	505	53	50	191
96	yimg.jp	465	60	227	245
97	yimg.jp	469	68	225	248
98	yimg.jp	469	60	218	230
99	yimg.jp	506	57	223	266
100	yimg.jp	505	58	78	231
101	yimg.jp	469	49	186	230
102	yimg.jp	469	53	200	221
103	yimg.jp	494	59	104	255
104	yimg.jp	492	65	222	231
105	yimg.jp	492	64	121	239
106	yimg.jp	490	61	77	221
107	yimg.jp	492	67	222	231
108	yimg.jp	490	59	92	221
109	yimg.jp	491	54	221	231
110	yimg.jp	491	66	219	231
111	yimg.jp	491	46	75	214
112	yimg.jp	491	62	95	222
113	yimg.jp	492	57	95	223
114	yimg.jp	491	49	75	222
115	yimg.jp	490	59	98	230
116	yimg.jp	507	85	222	245
117	yimg.jp	508	57	94	224
118	yimg.jp	470	60	222	231
119	yimg.jp	492	65	101	253
120	yimg.jp	492	52	96	223
121	yimg.jp	508	46	78	253
122	yimg.jp	423	102	238	245
123	yimg.jp	424	66	207	211
124	yimg.jp	421	59	197	199
125	yimg.jp	422	61	204	210
126	yimg.jp	493	62	108	266
127	yimg.jp	422	60	209	238
128	yimg.jp	505	69	86	277
129	yimg.jp	492	55	202	231
130	yimg.jp	469	58	220	221
131	yimg.jp	490	51	96	244
132	yimg.jp	469	50	182	230
133	yimg.jp	491	66	204	245
134	yimg.jp	494	65	100	233
135	yimg.jp	471	58	220	222
136	yimg.jp	470	59	99	231
137	yimg.jp	468	61	97	228
138	yimg.jp	468	55	223	229
139	yimg.jp	494	57	97	238
140	yimg.jp	494	66	96	224
141	yimg.jp	470	57	240	229
142	yimg.jp	470	58	218	221
143	yimg.jp	464	64	228	234
144	yimg.jp	494	46	80	256
145	yimg.jp	469	53	126	238
146	yimg.jp	470	51	183	231
147	yimg.jp	469	47	182	230
148	yimg.jp	492	57	101	245
149	yimg.jp	471	59	218	222
150	twitter.com	441	208	198	233
151	twitter.com	433	95	119	133
152	twitter.com	433	64	72	81
153	twitter.com	362	106	111	108
154	twitter.com	344	95	131	133
155	twitter.com	475	151	148	167
156	twitter.com	362	24	26	180
157	twitter.com	344	55	122	137
158	facebook.net	381	154	178	185
159	twimg.com	467	196	225	253
160	twimg.com	467	54	105	152
161	verisign.com	353	135	192	168
162	yahooapis.jp	446	73	195	252
163	edgesuite.net	299	109	109	126
164	edgesuite.net	299	81	86	93
