num	name	http1	spdy3	delta	simple
1	yahoo.com	292	191	206	183
2	yahoo.com	334	73	56	64
3	yahoo.com	477	182	186	238
4	yahoo.com	477	30	56	77
5	yahoo.com	478	38	57	78
6	yahoo.com	581	195	188	218
7	yahoo.com	484	72	57	222
8	yahoo.com	901	313	447	587
9	yahoo.com	676	301	275	386
10	yahoo.com	758	104	346	481
11	yahoo.com	921	106	223	623
12	yahoo.com	1258	206	238	355
13	yahoo.com	452	67	73	217
14	yahoo.com	843	292	346	470
15	yahoo.com	1227	77	214	839
16	yahoo.com	1317	124	560	951
17	yahoo.com	565	205	207	312
18	yahoo.com	731	263	228	461
19	yahoo.com	731	29	8	168
20	yahoo.com	829	200	235	295
21	yahoo.com	1001	383	407	446
22	yahoo.com	1487	195	509	1049
23	yahoo.com	832	264	250	476
24	yahoo.com	627	160	195	370
25	yahoo.com	524	30	18	69
26	yahoo.com	2071	509	919	1633
27	yahoo.com	2197	121	460	1645
28	yahoo.com	975	214	304	578
29	yahoo.com	854	50	225	473
30	yahoo.com	1208	186	296	782
31	yahoo.com	756	96	149	387
32	yahoo.com	1036	230	400	413
33	yahoo.com	2209	108	485	1659
34	yimg.com	449	180	140	220
35	yimg.com	278	35	28	39
36	yimg.com	337	66	63	119
37	yimg.com	374	67	54	98
38	yimg.com	371	62	46	65
39	yimg.com	363	50	42	58
40	yimg.com	381	63	55	74
41	yimg.com	357	46	38	53
42	yimg.com	367	52	45	62
43	yimg.com	375	56	50	69
44	yimg.com	389	79	113	132
45	yimg.com	468	80	114	231
46	yimg.com	512	67	64	105
47	yimg.com	460	47	42	59
48	yimg.com	471	52	49	60
49	yahooapis.com	316	69	68	104
50	yahooapis.com	382	49	56	158
51	yahooapis.com	530	84	152	192
52	imrworldwide.com	402	101	108	179
53	imrworldwide.com	518	115	153	229
54	imrworldwide.com	798	464	457	503
55	imrworldwide.com	1039	111	153	283
56	imrworldwide.com	1034	316	534	611
57	imrworldwide.com	1375	564	833	910
58	imrworldwide.com	1379	560	830	913
59	imrworldwide.com	1379	566	826	913
60	imrworldwide.com	1391	578	840	924
61	imrworldwide.com	1383	561	842	917
62	imrworldwide.com	1387	570	834	920
63	imrworldwide.com	1407	581	848	938
64	overture.com	464	179	176	233
65	doubleclick.net	728	283	312	464
66	doubleclick.net	447	98	125	212
67	doubleclick.net	478	39	82	166
68	doubleclick.net	1005	199	454	644
69	doubleclick.net	994	72	494	555
70	doubleclick.net	1767	354	1134	1232
71	doubleclick.net	1770	117	1129	1234
72	doubleclick.net	1771	107	1125	1235
73	doubleclick.net	1785	179	1139	1247
74	doubleclick.net	1776	80	1139	1239
75	doubleclick.net	1781	73	1132	1244
76	doubleclick.net	1802	214	1150	1262
77	doubleclick.net	1801	680	1160	1261
78	2mdn.net	652	76	344	398
79	2mdn.net	691	63	45	86
80	2mdn.net	387	59	49	156
81	2mdn.net	810	79	66	526
82	2mdn.net	804	49	60	491
83	2mdn.net	1173	86	764	814
84	scorecardresearch.com	393	103	100	141
85	scorecardresearch.com	486	79	123	203
86	scorecardresearch.com	468	80	98	164
87	scorecardresearch.com	566	121	116	220
88	scorecardresearch.com	468	33	92	134
89	scorecardresearch.com	620	129	138	267
90	adnxs.com	994	129	120	697
91	adnxs.com	1036	71	44	661
92	adnxs.com	1037	75	102	632
93	media.net	339	107	47	124
94	media.net	596	122	172	266
95	media.net	934	364	560	631
96	media.net	546	58	45	88
97	media.net	544	42	40	56
98	media.net	516	48	46	62
99	media.net	607	65	180	345
100	media.net	944	245	570	640
101	media.net	548	41	43	84
102	media.net	1676	535	1045	1085
103	facebook.com	862	402	411	575
104	fbcdn.net	989	411	557	693
105	fbcdn.net	883	231	442	583
106	fbcdn.net	945	62	64	139
107	fbcdn.net	656	113	289	385
108	youtube.com	409	58	53	185
109	youtube.com	439	114	121	136
110	youtube.com	537	134	88	105
111	youtube.com	552	50	38	57
112	ytimg.com	342	64	59	91
113	ytimg.com	334	62	46	74
114	ytimg.com	329	53	54	70
115	ytimg.com	364	57	91	136
116	ytimg.com	319	43	52	97
117	ytimg.com	366	46	55	138
118	ytimg.com	364	41	44	59
119	ytimg.com	344	49	58	98
120	talkingpointsmemo.com	464	93	87	233
121	talkingpointsmemo.com	469	102	158	216
122	talkingpointsmemo.com	414	64	62	84
123	talkingpointsmemo.com	453	70	84	114
124	talkingpointsmemo.com	434	50	54	101
125	talkingpointsmemo.com	419	38	62	80
126	talkingpointsmemo.com	482	49	155	219
127	talkingpointsmemo.com	514	59	64	138
128	ajax.googleapis.com	384	71	67	163
129	gravity.com	405	113	89	178
130	gravity.com	1081	303	536	673
131	twitter.com	352	56	46	58
132	twitter.com	353	36	29	42
133	twitter.com	422	44	39	105
134	twitter.com	413	32	29	42
135	twitter.com	1023	193	560	722
136	twitter.com	447	77	135	171
137	typekit.com	354	49	45	133
138	typekit.com	861	332	371	483
139	typekit.net	488	103	117	170
140	twimg.com	1357	247	751	985
141	zenfs.com	417	86	75	162
142	zenfs.com	417	58	49	68
