num	name	http1	spdy3	delta	simple
1	yahoo.com	272	144	168	116
2	yahoo.com	492	253	278	269
3	yahoo.com	448	70	106	104
4	yahoo.com	448	30	20	35
5	yahoo.com	448	29	20	35
6	yahoo.com	670	223	227	258
7	yahoo.com	486	74	66	84
8	yahoo.com	666	75	160	248
9	yahoo.com	399	45	45	52
10	yahoo.com	552	70	86	111
11	yahoo.com	480	96	120	85
12	yahoo.com	503	99	111	146
13	yahoo.com	451	48	67	83
14	yahoo.com	701	279	285	316
15	yahoo.com	503	29	50	110
16	yahoo.com	665	49	96	247
17	yahoo.com	452	233	229	262
18	yahoo.com	398	53	86	259
19	yahoo.com	398	24	8	28
20	yahoo.com	326	101	127	139
21	yahoo.com	398	28	30	255
22	yahoo.com	668	84	139	248
23	yahoo.com	398	29	46	71
24	yahoo.com	645	116	197	250
25	yahoo.com	753	134	232	244
26	yahoo.com	715	105	212	286
27	yahoo.com	712	85	192	208
28	yahoo.com	739	61	182	252
29	yahoo.com	326	34	61	122
30	yahoo.com	739	31	152	442
31	yahoo.com	398	29	30	71
32	yahoo.com	398	24	8	28
33	yahoo.com	714	87	205	296
34	yimg.com	310	148	173	157
35	yimg.com	663	93	122	329
36	yimg.com	363	105	106	112
37	yimg.com	349	86	101	84
38	yimg.com	302	99	112	80
39	yimg.com	302	86	96	70
40	yimg.com	303	82	95	71
41	yimg.com	303	67	95	71
42	yimg.com	301	76	97	79
43	yimg.com	302	78	101	80
44	yimg.com	243	61	102	84
45	yimg.com	297	66	102	125
46	yimg.com	301	73	104	100
47	yimg.com	357	73	104	126
48	yimg.com	347	59	90	91
49	yahooapis.com	355	83	134	122
50	yahooapis.com	546	227	248	288
51	yahooapis.com	421	39	50	240
52	imrworldwide.com	595	260	340	376
53	imrworldwide.com	334	38	30	45
54	imrworldwide.com	219	61	58	74
55	imrworldwide.com	334	28	32	158
56	imrworldwide.com	334	24	14	36
57	imrworldwide.com	334	26	36	36
58	imrworldwide.com	334	23	8	28
59	imrworldwide.com	334	25	36	36
60	imrworldwide.com	334	28	36	36
61	imrworldwide.com	334	23	8	28
62	imrworldwide.com	334	23	8	28
63	imrworldwide.com	334	27	36	36
64	overture.com	643	194	215	437
65	doubleclick.net	419	159	199	246
66	doubleclick.net	248	124	142	155
67	doubleclick.net	511	99	143	282
68	doubleclick.net	492	147	251	285
69	doubleclick.net	492	34	24	65
70	doubleclick.net	492	37	24	65
71	doubleclick.net	605	42	22	155
72	doubleclick.net	605	34	44	74
73	doubleclick.net	605	34	25	74
74	doubleclick.net	605	30	19	66
75	doubleclick.net	605	30	19	66
76	doubleclick.net	492	37	28	65
77	doubleclick.net	591	43	29	174
78	2mdn.net	371	97	127	141
79	2mdn.net	366	75	106	99
80	2mdn.net	364	66	92	89
81	2mdn.net	367	69	94	91
82	2mdn.net	367	43	72	86
83	2mdn.net	368	56	76	96
84	scorecardresearch.com	475	188	260	298
85	scorecardresearch.com	266	31	28	38
86	scorecardresearch.com	266	26	36	35
87	scorecardresearch.com	480	46	44	227
88	scorecardresearch.com	498	40	46	57
89	scorecardresearch.com	505	36	28	48
90	adnxs.com	603	254	338	411
91	adnxs.com	602	53	173	230
92	adnxs.com	602	70	177	238
93	media.net	320	118	102	144
94	media.net	344	60	79	118
95	media.net	349	70	78	119
96	media.net	297	74	87	78
97	media.net	297	53	78	64
98	media.net	360	47	73	153
99	media.net	359	47	76	126
100	media.net	349	43	55	118
101	media.net	414	73	88	126
102	media.net	366	62	111	126
103	facebook.com	328	123	145	143
104	fbcdn.net	455	153	167	175
105	fbcdn.net	423	123	151	146
106	fbcdn.net	455	108	133	166
107	fbcdn.net	423	114	133	146
108	youtube.com	520	227	232	296
109	youtube.com	578	93	54	105
110	youtube.com	560	68	96	158
111	youtube.com	560	26	8	55
112	ytimg.com	321	85	120	133
113	ytimg.com	370	80	109	119
114	ytimg.com	377	41	48	84
115	ytimg.com	371	57	101	101
116	ytimg.com	378	64	101	107
117	ytimg.com	371	67	101	101
118	ytimg.com	371	44	77	84
119	ytimg.com	274	72	94	105
120	talkingpointsmemo.com	507	247	264	274
121	talkingpointsmemo.com	499	156	173	185
122	talkingpointsmemo.com	530	102	132	171
123	talkingpointsmemo.com	530	89	78	122
124	talkingpointsmemo.com	477	134	137	150
125	talkingpointsmemo.com	332	101	94	101
126	talkingpointsmemo.com	476	114	131	220
127	talkingpointsmemo.com	508	111	158	211
128	ajax.googleapis.com	392	86	109	165
129	gravity.com	314	144	165	184
130	gravity.com	322	38	56	71
131	twitter.com	403	146	155	213
132	twitter.com	403	65	70	77
133	twitter.com	428	89	93	121
134	twitter.com	427	70	76	88
135	twitter.com	476	162	183	199
136	twitter.com	344	71	131	133
137	typekit.com	328	98	101	141
138	typekit.com	325	58	109	124
139	typekit.net	278	63	100	93
140	twimg.com	467	172	225	241
141	zenfs.com	541	255	252	291
142	zenfs.com	541	130	177	217
