num	name	http1	spdy3	delta	simple
1	yandex.ru	292	192	206	183
2	yandex.ru	296	31	27	37
3	yandex.ru	445	200	196	210
4	yandex.ru	450	88	105	123
5	yandex.ru	353	44	39	50
6	yandex.ru	408	65	54	128
7	yandex.ru	414	58	53	108
8	yandex.ru	430	123	126	178
9	yandex.ru	622	290	271	315
10	yandex.ru	402	64	59	123
11	yandex.ru	345	36	40	73
12	yandex.ru	542	200	164	264
13	yandex.ru	549	56	47	61
14	yandex.ru	531	71	90	108
15	yandex.ru	533	39	36	54
16	yandex.ru	516	38	39	56
17	yandex.ru	625	71	97	163
18	yandex.ru	623	39	88	119
19	yandex.ru	626	37	90	122
20	yandex.ru	633	40	94	128
21	yandex.ru	566	60	89	121
22	yandex.ru	563	44	43	62
23	yandex.ru	571	52	47	69
24	yandex.ru	586	53	58	82
25	yandex.ru	588	36	60	84
26	yandex.ru	587	36	59	83
27	yandex.ru	553	34	34	140
28	yandex.ru	585	47	71	168
29	yandex.ru	563	45	44	62
30	yandex.ru	566	35	39	151
31	yandex.ru	533	47	41	248
32	yandex.ru	967	292	357	423
33	yandex.ru	594	51	57	301
34	yandex.ru	667	46	159	239
35	yandex.ru	1037	112	398	670
36	yandex.ru	575	30	24	266
37	yandex.ru	575	40	35	44
38	yandex.ru	578	59	101	161
39	yandex.ru	486	42	48	58
40	yandex.ru	908	119	329	589
41	yandex.ru	616	66	61	360
42	yandex.ru	604	121	136	350
43	yandex.ru	500	45	44	67
44	yandex.ru	899	79	306	585
45	yandex.ru	1281	452	708	919
46	yandex.ru	495	53	40	63
47	yandex.ru	1023	475	459	680
48	yandex.ru	570	121	102	126
49	yandex.ru	1001	262	372	630
50	yandex.ru	923	56	347	606
51	yandex.ru	2040	251	1190	1576
52	yandex.ru	1799	213	792	1088
53	yandex.ru	1254	388	388	597
54	yandex.ru	1269	60	251	580
55	yandex.ru	1191	44	302	556
56	yandex.ru	1831	93	1031	1393
57	yandex.ru	1392	61	382	741
58	yandex.ru	1314	44	441	714
59	yandex.ru	2491	105	1536	1971
60	yandex.st	329	78	62	122
61	yandex.st	321	61	43	100
62	yandex.st	315	41	32	46
63	yandex.st	327	63	56	86
64	yandex.st	331	57	50	90
65	yandex.st	332	57	49	61
66	yandex.st	331	53	47	60
67	yandex.st	331	53	48	60
68	yandex.st	349	56	56	76
69	yandex.st	331	52	49	60
70	yandex.st	331	52	47	60
71	yandex.st	290	45	40	54
72	yandex.st	303	33	46	62
73	yandex.st	331	57	53	90
74	yandex.st	331	52	49	60
75	yandex.st	331	53	49	60
76	yandex.st	331	52	49	60
77	yandex.st	331	53	49	60
78	yandex.st	331	52	46	60
79	yandex.st	332	56	48	61
80	yandex.st	332	53	47	61
81	yandex.st	327	53	39	56
82	yandex.st	332	53	48	61
83	yandex.st	331	53	49	60
84	yandex.st	355	72	52	100
85	yandex.st	330	58	55	115
86	yandex.st	313	31	42	93
87	yandex.st	321	53	53	100
88	yandex.st	294	28	40	54
89	yandex.st	308	32	44	63
90	yandex.st	366	61	96	140
91	yandex.st	366	52	48	61
92	yandex.st	370	58	50	64
93	yandex.st	370	52	50	64
94	yandex.st	370	52	52	64
95	yandex.st	366	53	50	61
96	yandex.st	396	54	51	117
97	yandex.st	366	53	53	91
98	google.com	492	258	289	321
99	google.com	430	97	107	112
100	google.com	444	65	84	99
101	google.com	461	83	99	114
102	tns-counter.ru	454	150	131	303
103	yandex.net	357	97	80	120
104	yandex.net	328	82	95	114
105	yandex.net	345	50	55	129
106	yandex.net	344	35	31	44
107	yandex.net	351	55	52	65
108	yandex.net	348	40	33	47
109	yandex.net	350	61	52	64
110	yandex.net	355	81	57	108
111	yandex.net	374	80	71	125
112	yandex.net	374	39	51	70
113	yandex.net	374	43	51	70
114	yandex.net	374	40	51	70
115	yandex.net	374	42	51	70
116	yandex.net	374	40	51	70
117	yandex.net	374	39	50	70
118	yandex.net	374	38	51	70
119	yandex.net	374	62	55	70
120	yandex.net	374	40	51	70
121	yandex.net	374	40	51	70
122	yandex.net	396	65	55	129
123	yandex.net	396	39	50	70
124	yandex.net	396	37	51	70
125	yandex.net	396	38	51	70
126	yandex.net	396	40	51	70
127	yandex.net	396	40	51	70
128	yandex.net	396	36	50	70
129	yandex.net	396	38	50	70
130	yandex.net	396	40	51	70
131	yandex.net	396	64	54	70
132	yandex.net	355	79	73	108
133	yandex.net	350	31	45	63
134	yandex.net	618	47	49	321
