num	name	http1	spdy3	delta	simple
1	yandex.ru	224	124	135	99
2	yandex.ru	605	302	358	348
3	yandex.ru	387	171	246	212
4	yandex.ru	341	44	40	45
5	yandex.ru	413	82	83	106
6	yandex.ru	343	65	90	63
7	yandex.ru	341	24	24	61
8	yandex.ru	103	39	47	37
9	yandex.ru	244	38	97	120
10	yandex.ru	302	106	125	82
11	yandex.ru	423	235	241	303
12	yandex.ru	273	77	99	76
13	yandex.ru	236	61	88	92
14	yandex.ru	331	79	64	73
15	yandex.ru	263	50	37	50
16	yandex.ru	279	50	60	72
17	yandex.ru	97	28	26	32
18	yandex.ru	97	21	8	19
19	yandex.ru	97	21	8	19
20	yandex.ru	97	21	8	19
21	yandex.ru	261	53	81	101
22	yandex.ru	262	43	59	56
23	yandex.ru	330	59	64	75
24	yandex.ru	214	45	42	43
25	yandex.ru	215	42	32	44
26	yandex.ru	214	41	32	43
27	yandex.ru	323	47	65	159
28	yandex.ru	263	45	66	104
29	yandex.ru	263	47	46	58
30	yandex.ru	318	62	80	157
31	yandex.ru	383	68	80	140
32	yandex.ru	371	52	92	77
33	yandex.ru	236	36	78	91
34	yandex.ru	97	23	24	32
35	yandex.ru	442	56	98	244
36	yandex.ru	318	32	36	112
37	yandex.ru	325	90	141	115
38	yandex.ru	97	21	26	32
39	yandex.ru	291	56	75	125
40	yandex.ru	347	44	96	131
41	yandex.ru	413	92	90	180
42	yandex.ru	286	65	129	116
43	yandex.ru	293	50	81	122
44	yandex.ru	341	39	96	126
45	yandex.ru	364	36	26	65
46	yandex.ru	422	101	161	196
47	yandex.ru	394	44	28	90
48	yandex.ru	361	40	94	155
49	yandex.ru	855	219	480	582
50	yandex.ru	97	23	28	32
51	yandex.ru	341	37	70	160
52	yandex.ru	491	83	118	154
53	yandex.ru	464	45	92	78
54	yandex.ru	798	54	396	532
55	yandex.ru	97	21	26	32
56	yandex.ru	341	38	70	160
57	yandex.ru	978	59	556	690
58	yandex.ru	97	21	24	32
59	yandex.ru	341	34	88	160
60	yandex.st	293	104	109	116
61	yandex.st	290	50	63	66
62	yandex.st	289	50	55	56
63	yandex.st	368	84	51	92
64	yandex.st	289	43	41	57
65	yandex.st	290	49	60	57
66	yandex.st	290	42	37	57
67	yandex.st	369	43	42	77
68	yandex.st	289	39	37	49
69	yandex.st	289	38	31	49
70	yandex.st	290	44	33	49
71	yandex.st	385	64	67	107
72	yandex.st	385	42	37	65
73	yandex.st	368	46	38	64
74	yandex.st	289	40	42	57
75	yandex.st	290	40	33	49
76	yandex.st	289	38	33	49
77	yandex.st	369	43	37	77
78	yandex.st	368	42	33	56
79	yandex.st	368	47	38	63
80	yandex.st	367	46	59	71
81	yandex.st	369	57	64	73
82	yandex.st	289	42	40	56
83	yandex.st	369	42	43	84
84	yandex.st	290	52	89	73
85	yandex.st	293	33	28	69
86	yandex.st	385	53	90	123
87	yandex.st	369	61	87	89
88	yandex.st	385	47	44	87
89	yandex.st	385	48	59	65
90	yandex.st	368	62	86	88
91	yandex.st	369	48	58	64
92	yandex.st	367	48	54	63
93	yandex.st	369	46	34	56
94	yandex.st	367	42	32	55
95	yandex.st	369	41	37	64
96	yandex.st	372	36	24	76
97	yandex.st	370	52	104	90
98	google.com	261	161	113	150
99	google.com	309	71	106	135
100	google.com	309	29	20	68
101	google.com	309	29	20	68
102	tns-counter.ru	399	150	183	223
103	yandex.net	285	91	98	78
104	yandex.net	352	72	113	149
105	yandex.net	217	60	67	70
106	yandex.net	216	44	55	52
107	yandex.net	243	51	69	73
108	yandex.net	245	30	25	42
109	yandex.net	184	46	55	47
110	yandex.net	283	78	72	81
111	yandex.net	285	48	48	64
112	yandex.net	285	30	20	35
113	yandex.net	285	31	20	35
114	yandex.net	285	31	20	35
115	yandex.net	286	32	20	35
116	yandex.net	285	41	50	50
117	yandex.net	285	31	20	35
118	yandex.net	285	29	30	50
119	yandex.net	285	30	30	50
120	yandex.net	285	31	20	35
121	yandex.net	285	30	20	35
122	yandex.net	285	36	50	50
123	yandex.net	285	29	20	35
124	yandex.net	285	29	20	35
125	yandex.net	285	30	20	35
126	yandex.net	285	31	20	35
127	yandex.net	285	29	20	35
128	yandex.net	285	30	20	35
129	yandex.net	285	31	20	35
130	yandex.net	285	29	21	35
131	yandex.net	285	29	20	35
132	yandex.net	217	65	70	86
133	yandex.net	217	53	61	61
134	yandex.net	216	48	60	60
