num	name	http1	spdy3	delta	simple
1	youtube.com	426	283	302	294
2	youtube.com	717	273	229	316
3	youtube.com	715	52	34	63
4	youtube.com	523	92	87	113
5	youtube.com	673	151	130	313
6	youtube.com	926	323	378	555
7	youtube.com	633	113	92	295
8	youtube.com	810	176	159	211
9	youtube.com	742	122	104	152
10	youtube.com	635	43	33	71
11	youtube.com	793	108	147	210
12	youtube.com	748	104	111	157
13	youtube.com	652	52	45	86
14	youtube.com	937	224	263	336
15	youtube.com	652	30	20	86
16	youtube.com	781	99	90	250
17	youtube.com	1118	250	385	532
18	youtube.com	1453	357	612	787
19	youtube.com	632	36	33	69
20	youtube.com	754	63	115	163
21	youtube.com	900	75	221	303
22	youtube.com	892	51	238	476
23	youtube.com	1030	78	315	417
24	youtube.com	744	93	113	154
25	youtube.com	639	44	32	62
26	youtube.com	1832	445	890	1310
27	youtube.com	822	68	132	181
28	youtube.com	849	126	130	252
29	youtube.com	1869	251	869	1144
30	youtube.com	825	97	105	480
31	youtube.com	1138	200	369	754
32	youtube.com	996	55	118	167
33	youtube.com	1062	114	158	211
34	youtube.com	1306	172	328	425
35	youtube.com	1913	318	765	969
36	youtube.com	1013	73	135	182
37	ytimg.com	405	83	81	119
38	ytimg.com	388	45	48	73
39	ytimg.com	404	41	46	87
40	ytimg.com	387	38	44	72
41	ytimg.com	383	50	38	65
42	ytimg.com	390	54	42	71
43	ytimg.com	396	54	46	77
44	ytimg.com	392	43	44	73
45	ytimg.com	390	35	43	71
46	ytimg.com	392	56	45	73
47	ytimg.com	392	47	45	73
48	ytimg.com	389	48	42	70
49	ytimg.com	385	46	40	67
50	ytimg.com	398	54	48	78
51	ytimg.com	439	36	47	135
52	ytimg.com	414	43	43	113
53	ytimg.com	421	47	44	72
54	ytimg.com	502	58	139	194
55	ytimg.com	485	39	54	84
56	ytimg.com	416	55	79	119
57	ytimg.com	417	45	45	75
58	ytimg.com	400	44	49	77
59	ytimg.com	410	44	51	82
60	ytimg.com	400	35	44	73
61	ytimg.com	416	60	55	87
62	ytimg.com	415	45	53	86
63	ytimg.com	402	39	45	75
64	ytimg.com	392	36	39	66
65	ytimg.com	411	62	51	83
66	ytimg.com	399	42	44	72
67	ytimg.com	423	69	60	93
68	ytimg.com	422	47	53	96
69	doubleclick.net	636	234	195	315
70	doubleclick.net	660	104	133	179
71	doubleclick.net	673	78	182	229
72	doubleclick.net	1713	696	852	1092
73	doubleclick.net	505	50	22	121
74	doubleclick.net	1102	317	472	579
75	doubleclick.net	512	27	18	80
76	doubleclick.net	1086	73	466	582
77	doubleclick.net	839	323	333	366
78	doubleclick.net	1750	390	934	1163
79	doubleclick.net	826	307	293	331
80	doubleclick.net	896	128	364	392
81	doubleclick.net	823	44	291	329
82	doubleclick.net	817	43	287	323
83	doubleclick.net	839	64	303	343
84	doubleclick.net	841	47	304	344
85	doubleclick.net	1081	156	442	629
86	doubleclick.net	1120	74	495	645
87	doubleclick.net	839	79	316	366
88	doubleclick.net	1121	61	489	613
89	doubleclick.net	1734	241	901	1149
90	doubleclick.net	869	308	326	369
91	googlesyndication.com	538	76	65	231
92	googlesyndication.com	529	39	30	57
93	googlesyndication.com	557	51	48	82
94	googlesyndication.com	353	38	28	51
95	googlesyndication.com	450	65	38	129
96	googlesyndication.com	550	142	127	217
97	googlesyndication.com	550	26	8	169
98	googlesyndication.com	957	62	471	573
99	googlesyndication.com	550	54	129	217
100	googlesyndication.com	550	26	8	169
101	googlesyndication.com	434	75	66	115
102	googlesyndication.com	454	52	63	133
103	google.com	692	262	274	363
104	google.com	600	51	52	113
105	google.com	812	142	158	295
106	google.com	649	30	20	89
107	google.com	693	81	65	127
108	google.com	608	34	24	117
109	googletagservices.com	432	56	53	139
110	youtube-nocookie.com	462	71	70	101
111	2mdn.net	416	61	54	125
112	2mdn.net	422	39	43	73
113	2mdn.net	421	35	42	72
114	googleusercontent.com	451	94	92	155
115	googleusercontent.com	436	38	59	93
116	googleusercontent.com	435	37	58	92
117	googleusercontent.com	440	41	61	97
118	googleusercontent.com	439	40	60	96
119	google-analytics.com	432	98	72	78
120	google-analytics.com	879	313	345	441
