num	name	http1	spdy3	delta	simple
1	youtube.com	503	353	296	319
2	youtube.com	540	80	70	104
3	youtube.com	561	82	94	128
4	youtube.com	576	101	90	178
5	youtube.com	585	97	125	213
6	youtube.com	576	45	72	126
7	youtube.com	671	140	161	189
8	youtube.com	688	79	88	169
9	youtube.com	670	65	81	180
10	youtube.com	380	79	104	127
11	youtube.com	734	76	99	394
12	youtube.com	717	54	52	111
13	youtube.com	513	152	204	217
14	youtube.com	317	91	122	126
15	youtube.com	481	31	32	217
16	youtube.com	719	41	42	385
17	youtube.com	730	33	26	112
18	youtube.com	412	53	70	189
19	youtube.com	426	68	130	147
20	youtube.com	436	46	30	130
21	youtube.com	412	28	36	73
22	youtube.com	412	24	8	65
23	youtube.com	730	34	56	399
24	youtube.com	292	38	20	71
25	youtube.com	570	108	116	303
26	youtube.com	412	28	26	189
27	youtube.com	436	29	14	72
28	youtube.com	718	42	65	392
29	youtube.com	412	28	46	198
30	youtube.com	719	54	127	398
31	youtube.com	412	29	46	198
32	youtube.com	716	39	26	378
33	youtube.com	612	56	41	247
34	youtube.com	729	30	30	259
35	youtube.com	412	30	50	196
36	youtube.com	436	31	14	72
37	ytimg.com	369	109	136	140
38	ytimg.com	377	43	62	84
39	ytimg.com	370	72	101	100
40	ytimg.com	377	38	49	84
41	ytimg.com	368	68	106	98
42	ytimg.com	370	59	105	100
43	ytimg.com	370	51	98	91
44	ytimg.com	371	49	95	92
45	ytimg.com	324	63	81	88
46	ytimg.com	390	54	105	136
47	ytimg.com	377	40	56	106
48	ytimg.com	369	48	97	99
49	ytimg.com	373	47	57	81
50	ytimg.com	369	42	59	99
51	ytimg.com	392	56	105	119
52	ytimg.com	392	55	96	93
53	ytimg.com	344	61	100	88
54	ytimg.com	367	59	104	116
55	ytimg.com	374	40	28	84
56	ytimg.com	369	63	103	99
57	ytimg.com	370	59	95	92
58	ytimg.com	376	60	101	105
59	ytimg.com	376	51	76	91
60	ytimg.com	377	40	54	92
61	ytimg.com	370	50	63	100
62	ytimg.com	370	30	20	62
63	ytimg.com	370	38	44	70
64	ytimg.com	369	34	46	77
65	ytimg.com	371	42	59	79
66	ytimg.com	323	45	52	74
67	ytimg.com	370	39	47	88
68	ytimg.com	369	51	103	99
69	doubleclick.net	474	259	237	287
70	doubleclick.net	473	55	43	106
71	doubleclick.net	295	75	82	112
72	doubleclick.net	487	58	63	287
73	doubleclick.net	511	88	79	144
74	doubleclick.net	916	399	403	490
75	doubleclick.net	581	99	101	207
76	doubleclick.net	925	60	56	508
77	doubleclick.net	360	42	24	46
78	doubleclick.net	550	48	39	176
79	doubleclick.net	570	57	36	150
80	doubleclick.net	584	37	20	116
81	doubleclick.net	446	47	22	62
82	doubleclick.net	446	28	14	58
83	doubleclick.net	570	33	42	146
84	doubleclick.net	570	30	14	100
85	doubleclick.net	926	59	76	509
86	doubleclick.net	938	76	62	174
87	doubleclick.net	360	29	24	68
88	doubleclick.net	925	52	40	483
89	doubleclick.net	568	40	40	175
90	doubleclick.net	570	34	50	134
91	googlesyndication.com	356	75	105	119
92	googlesyndication.com	568	139	175	281
93	googlesyndication.com	575	88	98	147
94	googlesyndication.com	491	64	57	136
95	googlesyndication.com	570	65	97	133
96	googlesyndication.com	568	51	32	112
97	googlesyndication.com	568	27	14	89
98	googlesyndication.com	553	83	110	148
99	googlesyndication.com	575	45	30	117
100	googlesyndication.com	575	27	8	81
101	googlesyndication.com	574	83	106	154
102	googlesyndication.com	495	55	79	120
103	google.com	366	132	134	211
104	google.com	140	49	36	31
105	google.com	489	91	124	294
106	google.com	140	27	32	53
107	google.com	498	81	119	301
108	google.com	140	28	26	57
109	googletagservices.com	492	66	58	294
110	youtube-nocookie.com	305	87	32	147
111	2mdn.net	335	74	97	133
112	2mdn.net	360	56	51	95
113	2mdn.net	390	87	124	140
114	googleusercontent.com	302	72	82	133
115	googleusercontent.com	302	55	72	91
116	googleusercontent.com	301	62	71	90
117	googleusercontent.com	302	24	18	91
118	googleusercontent.com	302	42	67	87
119	google-analytics.com	135	62	83	48
120	google-analytics.com	341	110	127	145
